baseline,source_clean_file,attacked_file,axis,attack_type,magnitude,threshold_p99_abs,n_samples
baseline_01_hover,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_bias_Roll.csv,Roll,bias,0.02746,0.006865,1253
baseline_01_hover,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Roll.csv,Roll,ramp,0.04119,0.006865,1253
baseline_01_hover,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Roll.csv,Roll,pulse,0.05492,0.006865,1253
baseline_01_hover,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_bias_Pitch.csv,Pitch,bias,0.036644,0.009161,1253
baseline_01_hover,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch.csv,Pitch,ramp,0.054966,0.009161,1253
baseline_01_hover,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Pitch.csv,Pitch,pulse,0.073288,0.009161,1253
baseline_01_hover,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_bias_Yaw.csv,Yaw,bias,0.054384,0.013596,1253
baseline_01_hover,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Yaw.csv,Yaw,ramp,0.08157600000000001,0.013596,1253
baseline_01_hover,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,Yaw,pulse,0.108768,0.013596,1253
baseline_02_high_altitude_hover,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_bias_Roll.csv,Roll,bias,0.027444,0.006861,1411
