x,AttackActive,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,Residual_Pitch,AbsResidual_Pitch,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
0.09996,0,0.0538220070302486,0.0538220070302486,0.0843465603455465,-0.030524553315297895,0.030524553315297895,0.009161,1,1.0,0.030524553315297895,0,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.19992,0,0.0538114830851554,0.0538114830851554,0.0780344445700723,-0.024222961484916906,0.024222961484916906,0.009161,1,2.0,0.0273737574001074,0,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.29988,0,0.0535954125225544,0.0535954125225544,0.0841145224143047,-0.0305191098917503,0.0305191098917503,0.009161,1,3.0,0.028422208230655038,0,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.39984,0,0.0538415908813476,0.0538415908813476,0.0815061224725264,-0.027664531591178793,0.027664531591178793,0.009161,1,4.0,0.028232789070785975,0,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.4998,0,0.0538353733718395,0.0538353733718395,0.0791238742664522,-0.025288500894612702,0.025288500894612702,0.009161,1,5.0,0.027643931435551317,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.59976,0,0.0542144514620304,0.0542144514620304,0.0800025191112161,-0.025788067649185703,0.025788067649185703,0.009161,1,6.0,0.027334620804490384,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.69972,0,0.0546420589089393,0.0546420589089393,0.0769266900556153,-0.022284631146675997,0.022284631146675997,0.009161,1,7.0,0.0266131937105169,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.79968,0,0.0553363263607025,0.0553363263607025,0.0895499186230886,-0.0342135922623861,0.0342135922623861,0.009161,1,8.0,0.02756324352950055,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.89964,0,0.0561366602778434,0.0561366602778434,0.0967118146584678,-0.0405751543806244,0.0405751543806244,0.009161,1,9.0,0.029009011401847647,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.9996,0,0.0570250265300273,0.0570250265300273,0.0936020710740368,-0.0365770445440095,0.0365770445440095,0.009161,1,10.0,0.02976581471606383,1,1,1,baseline_01_hover,Pitch,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
