x,AttackActive,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,Residual_Pitch,AbsResidual_Pitch,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
0.09996,0,0.0573319569230079,0.0573319569230079,0.1077826605340704,-0.0504507036110625,0.0504507036110625,0.007947,1,1.0,0.0504507036110625,0,1,1,baseline_02_high_altitude_hover,Pitch,bias,W20_N5_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.19992,0,0.0573374927043914,0.0573374927043914,0.1123252086099609,-0.054987715905569494,0.054987715905569494,0.007947,1,2.0,0.052719209758315996,0,1,1,baseline_02_high_altitude_hover,Pitch,bias,W20_N5_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.29988,0,0.0573996268212795,0.0573996268212795,0.1109069441193898,-0.0535073172981103,0.0535073172981103,0.007947,1,3.0,0.05298191227158076,0,1,1,baseline_02_high_altitude_hover,Pitch,bias,W20_N5_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.39984,0,0.05756052210927,0.05756052210927,0.1030229595645689,-0.045462437455298904,0.045462437455298904,0.007947,1,4.0,0.0511020435675103,0,1,1,baseline_02_high_altitude_hover,Pitch,bias,W20_N5_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.4998,0,0.0577396675944328,0.0577396675944328,0.0994703875634421,-0.0417307199690093,0.0417307199690093,0.007947,1,5.0,0.0492277788478101,1,1,1,baseline_02_high_altitude_hover,Pitch,bias,W20_N5_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.59976,0,0.0580138079822063,0.0580138079822063,0.0895357016538192,-0.0315218936716129,0.0315218936716129,0.007947,1,6.0,0.046276797985110564,1,1,1,baseline_02_high_altitude_hover,Pitch,bias,W20_N5_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.69972,0,0.0584353990852832,0.0584353990852832,0.0865100858378136,-0.028074686752530394,0.028074686752530394,0.007947,1,7.0,0.04367649638045625,1,1,1,baseline_02_high_altitude_hover,Pitch,bias,W20_N5_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.79968,0,0.0588361285626888,0.0588361285626888,0.0890931222838604,-0.030256993721171604,0.030256993721171604,0.007947,1,8.0,0.04199905854804568,1,1,1,baseline_02_high_altitude_hover,Pitch,bias,W20_N5_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.89964,0,0.0594841875135898,0.0594841875135898,0.0890792015254504,-0.029595014011860606,0.029595014011860606,0.007947,1,9.0,0.040620831377358446,1,1,1,baseline_02_high_altitude_hover,Pitch,bias,W20_N5_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.9996,0,0.0603646747767925,0.0603646747767925,0.0922884999090038,-0.0319238251322113,0.0319238251322113,0.007947,1,10.0,0.039751130752843734,1,1,1,baseline_02_high_altitude_hover,Pitch,bias,W20_N5_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
