x,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
0.09996,0,0.0689466446638107,0.0689466446638107,0.0713804740874739,-0.0024338294236632,0.0024338294236632,0.006861,0,0.0,0.0024338294236632,0,0,0,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.19992,0,0.0690026581287384,0.0690026581287384,0.0762925970899223,-0.007289938961183892,0.007289938961183892,0.006861,1,1.0,0.004861884192423546,0,0,0,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.29988,0,0.0688390359282493,0.0688390359282493,0.073969418064377,-0.005130382136127695,0.005130382136127695,0.006861,0,1.0,0.004951383506991596,0,0,0,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.39984,0,0.0689834430813789,0.0689834430813789,0.0792760910716181,-0.010292647990239198,0.010292647990239198,0.006861,1,2.0,0.0062866996278034964,0,0,0,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.4998,0,0.0691677629947662,0.0691677629947662,0.0853960816586974,-0.016228318663931207,0.016228318663931207,0.006861,1,3.0,0.008275023435029038,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.59976,0,0.0692693516612052,0.0692693516612052,0.0891847911864811,-0.0199154395252759,0.0199154395252759,0.006861,1,4.0,0.010215092783403516,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.69972,0,0.069673553109169,0.069673553109169,0.0882408849651272,-0.0185673318559582,0.0185673318559582,0.006861,1,5.0,0.01140826979376847,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.79968,0,0.0702573731541633,0.0702573731541633,0.0914041599439509,-0.021146786789787597,0.021146786789787597,0.006861,1,6.0,0.012625584418270861,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.89964,0,0.0709297433495521,0.0709297433495521,0.0913584522742586,-0.020428708924706496,0.020428708924706496,0.006861,1,7.0,0.013492598252319264,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.9996,0,0.0717814788222312,0.0717814788222312,0.0907691260481246,-0.018987647225893398,0.018987647225893398,0.006861,1,8.0,0.014042103149676678,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.09956,0,0.0727713331580162,0.0727713331580162,0.0856419527376862,-0.012870619579669992,0.012870619579669992,0.006861,1,9.0,0.015085782165277357,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.19952,0,0.0737710669636726,0.0737710669636726,0.0869972909697055,-0.013226224006032905,0.013226224006032905,0.006861,1,9.0,0.015679410669762257,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.29948,0,0.0750940814614296,0.0750940814614296,0.0938376534530642,-0.01874357199163461,0.01874357199163461,0.006861,1,10.0,0.017040729655312954,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.39944,0,0.0764409601688385,0.0764409601688385,0.0950970825978912,-0.018656122429052693,0.018656122429052693,0.006861,1,10.0,0.0178770770991943,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.4994,0,0.0777191296219825,0.0777191296219825,0.0962858373442182,-0.01856670772223569,0.01856670772223569,0.006861,1,10.0,0.018110916005024746,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.59936,0,0.0792558342218399,0.0792558342218399,0.1016369392226875,-0.022381105000847598,0.022381105000847598,0.006861,1,10.0,0.018357482552581916,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.69932,0,0.0806560069322586,0.0806560069322586,0.0986381872705395,-0.01798218033828089,0.01798218033828089,0.006861,1,10.0,0.018298967400814187,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
