x,AttackActive,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,Residual_Pitch,AbsResidual_Pitch,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
0.100793,0,0.0523364730179309,0.0523364730179309,0.0870853865874776,-0.034748913569546694,0.034748913569546694,0.01619,1,1.0,0.034748913569546694,0,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.200753,0,0.0524078570306301,0.0524078570306301,0.0839740523546154,-0.0315661953239853,0.0315661953239853,0.01619,1,2.0,0.033157554446766,0,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.300713,0,0.0524547547101974,0.0524547547101974,0.0857377534506354,-0.033282998740438004,0.033282998740438004,0.01619,1,3.0,0.03319936921132333,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.400673,0,0.0527733750641346,0.0527733750641346,0.0863269960976111,-0.033553621033476505,0.033553621033476505,0.01619,1,4.0,0.03328793216686163,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.500633,0,0.0529664233326911,0.0529664233326911,0.0882840669233186,-0.035317643590627494,0.035317643590627494,0.01619,1,5.0,0.0336938744516148,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.600593,0,0.0531146079301834,0.0531146079301834,0.0872624198050995,-0.0341478118749161,0.0341478118749161,0.01619,1,6.0,0.033769530688831685,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.700553,0,0.0536257214844226,0.0536257214844226,0.082376575968534,-0.028750854484111396,0.028750854484111396,0.01619,1,7.0,0.03305257694530021,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.800513,0,0.0543030425906181,0.0543030425906181,0.0825747717721904,-0.0282717291815723,0.0282717291815723,0.01619,1,8.0,0.03245497097483423,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
0.900473,0,0.0551897697150707,0.0551897697150707,0.0834473803040171,-0.028257610588946408,0.028257610588946408,0.01619,1,9.0,0.03198859759862446,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
1.000433,0,0.0559670738875865,0.0559670738875865,0.0838667996196607,-0.0278997257320742,0.0278997257320742,0.01619,1,10.0,0.03157971041196944,1,1,1,baseline_03_forward_motion,Pitch,bias,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction
