x,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
0.100793,0,0.0645033791661262,0.0645033791661262,0.0690457716965473,-0.004542392530421102,0.004542392530421102,0.006821,0,0.0,0.004542392530421102,0,0,0,baseline_03_forward_motion,Roll,bias,W30_N8_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.200753,0,0.064526192843914,0.064526192843914,0.07659050373653,-0.01206431089261599,0.01206431089261599,0.006821,1,1.0,0.008303351711518546,0,0,0,baseline_03_forward_motion,Roll,bias,W30_N8_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.300713,0,0.0645720511674881,0.0645720511674881,0.0765704710342919,-0.011998419866803806,0.011998419866803806,0.006821,1,2.0,0.009535041096613633,0,0,0,baseline_03_forward_motion,Roll,bias,W30_N8_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.400673,0,0.0648003742098808,0.0648003742098808,0.0817705832105668,-0.016970209000685993,0.016970209000685993,0.006821,1,3.0,0.011393833072631723,0,1,1,baseline_03_forward_motion,Roll,bias,W30_N8_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.500633,0,0.0650135427713394,0.0650135427713394,0.0834749241119707,-0.0184613813406313,0.0184613813406313,0.006821,1,4.0,0.012807342726231638,0,1,1,baseline_03_forward_motion,Roll,bias,W30_N8_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.600593,0,0.0654447674751281,0.0654447674751281,0.0811416975981865,-0.015696930123058395,0.015696930123058395,0.006821,1,5.0,0.013288940625702765,0,1,1,baseline_03_forward_motion,Roll,bias,W30_N8_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.700553,0,0.065907597541809,0.065907597541809,0.0868056685512121,-0.020898071009403107,0.020898071009403107,0.006821,1,6.0,0.01437595925194567,0,1,1,baseline_03_forward_motion,Roll,bias,W30_N8_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.800513,0,0.0664606839418411,0.0664606839418411,0.0814775977406312,-0.015016913798790096,0.015016913798790096,0.006821,1,7.0,0.014456078570301224,0,1,1,baseline_03_forward_motion,Roll,bias,W30_N8_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.900473,0,0.0672271996736526,0.0672271996736526,0.0769023451193254,-0.0096751454456728,0.0096751454456728,0.006821,1,8.0,0.013924863778675843,1,1,1,baseline_03_forward_motion,Roll,bias,W30_N8_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.000433,0,0.0681583508849144,0.0681583508849144,0.071596870894788,-0.0034385200098736024,0.0034385200098736024,0.006821,0,8.0,0.012876229401795619,1,1,1,baseline_03_forward_motion,Roll,bias,W30_N8_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
