x,AttackActive,CleanFuture_Yaw,AttackedFuture_Yaw,V9PredictedFuture_Yaw,Residual_Yaw,AbsResidual_Yaw,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
0.100793,0,354.9201354980469,354.9201354980469,352.8642822265625,2.0558532714843523,2.0558532714843523,0.00305,1,1.0,2.0558532714843523,0,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.200753,0,354.9177551269531,354.9177551269531,352.8625183105469,2.05523681640625,2.05523681640625,0.00305,1,2.0,2.055545043945301,0,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.300713,0,354.9150085449219,354.9150085449219,352.857438659668,2.0575698852538835,2.0575698852538835,0.00305,1,3.0,2.0562199910481618,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.400673,0,354.9120178222656,354.9120178222656,352.85560455322263,2.0564132690429915,2.0564132690429915,0.00305,1,4.0,2.0562683105468693,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.500633,0,354.9091186523437,354.9091186523437,352.85969848632817,2.0494201660155227,2.0494201660155227,0.00305,1,5.0,2.0548986816406,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.600593,0,354.90606689453125,354.90606689453125,352.86301269531253,2.043054199218716,2.043054199218716,0.00305,1,6.0,2.0529246012369526,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.700553,0,354.9031677246094,354.9031677246094,352.8626678466797,2.040499877929676,2.040499877929676,0.00305,1,7.0,2.0511496407644847,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.800513,0,354.9003601074219,354.9003601074219,352.85825042724616,2.042109680175713,2.042109680175713,0.00305,1,8.0,2.050019645690888,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.900473,0,354.89678955078125,354.89678955078125,352.8568283081055,2.0399612426757585,2.0399612426757585,0.00305,1,9.0,2.0489020453558737,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.000433,0,354.8936767578125,354.8936767578125,352.85996704101564,2.0337097167968636,2.0337097167968636,0.00305,1,10.0,2.047382812499973,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.100393,0,354.8903503417969,354.8903503417969,352.86226196289067,2.0280883789062045,2.0280883789062045,0.00305,1,10.0,2.044606323242158,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.200353,0,354.8874206542969,354.8874206542969,352.86013336181645,2.0272872924804233,2.0272872924804233,0.00305,1,10.0,2.041811370849575,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.300313,0,354.884521484375,354.884521484375,352.8597518920899,2.0247695922851108,2.0247695922851108,0.00305,1,10.0,2.038531341552698,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.400273,0,354.88153076171875,354.88153076171875,352.8626846313477,2.0188461303710596,2.0188461303710596,0.00305,1,10.0,2.034774627685505,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.500233,0,354.8782043457031,354.8782043457031,352.86436920166017,2.0138351440429574,2.0138351440429574,0.00305,1,10.0,2.0312161254882484,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.600193,0,354.8750915527344,354.8750915527344,352.8608871459961,2.0142044067382585,2.0142044067382585,0.00305,1,10.0,2.0283311462402027,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.700153,0,354.87188720703125,354.87188720703125,352.85645904541013,2.0154281616211165,2.0154281616211165,0.00305,1,10.0,2.0258239746093465,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.800113,0,354.8688659667969,354.8688659667969,352.8572082519531,2.01165771484375,2.01165771484375,0.00305,1,10.0,2.0227787780761504,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.900073,0,354.8656921386719,354.8656921386719,352.86062469482425,2.005067443847622,2.005067443847622,0.00305,1,10.0,2.0192893981933366,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
2.000033,0,354.8624572753906,354.8624572753906,352.861994934082,2.000462341308605,2.000462341308605,0.00305,1,10.0,2.015964660644511,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
2.099993,0,354.8594055175781,354.8594055175781,352.8595413208008,1.9998641967773096,1.9998641967773096,0.00305,1,10.0,2.013142242431621,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
2.200786,0,354.8562927246094,354.8562927246094,352.85817413330085,1.9981185913085255,1.9981185913085255,0.00305,1,10.0,2.0102253723144314,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
2.300746,0,354.8537292480469,354.8537292480469,352.85796813964845,1.9957611083984261,1.9957611083984261,0.00305,1,10.0,2.007324523925763,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
2.400706,0,354.8507995605469,354.8507995605469,352.8591888427735,1.9916107177733693,1.9916107177733693,0.00305,1,10.0,2.004600982665994,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
2.500666,0,354.847900390625,354.847900390625,352.860612487793,1.9872879028320085,1.9872879028320085,0.00305,1,10.0,2.001946258544899,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
2.600626,0,354.84442138671875,354.84442138671875,352.8607849121094,1.983636474609341,1.983636474609341,0.00305,1,10.0,1.9988894653320073,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
2.700586,0,354.8411560058594,354.8411560058594,352.8606094360352,1.9805465698241846,1.9805465698241846,0.00305,1,10.0,1.9954013061523141,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
2.800546,0,354.8377380371094,354.8377380371094,352.86006469726567,1.9776733398437045,1.9776733398437045,0.00305,1,10.0,1.9920028686523097,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
2.900506,0,354.8340759277344,354.8340759277344,352.8600524902344,1.974023437499966,1.974023437499966,0.00305,1,10.0,1.988898468017544,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
3.000466,0,354.8307189941406,354.8307189941406,352.85891265869145,1.9718063354491733,1.9718063354491733,0.00305,1,10.0,1.9860328674316008,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
3.100426,0,354.82745361328125,354.82745361328125,352.8591949462891,1.968258666992142,1.968258666992142,0.00305,1,10.0,1.982872314453084,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
3.200386,0,354.82379150390625,354.82379150390625,352.8593551635741,1.9644363403321563,1.9644363403321563,0.00305,1,10.0,1.9795040893554472,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
3.300346,0,354.82037353515625,354.82037353515625,352.8598449707032,1.9605285644530568,1.9605285644530568,0.00305,1,10.0,1.9759808349609103,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
3.400306,0,354.8168640136719,354.8168640136719,352.86003417968755,1.9568298339843295,1.9568298339843295,0.00305,1,10.0,1.9725027465820062,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
3.500266,0,354.8132019042969,354.8132019042969,352.8603225708008,1.952879333496071,1.952879333496071,0.00305,1,10.0,1.9690618896484124,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
3.600226,0,354.8095397949219,354.8095397949219,352.8601989746094,1.9493408203125,1.9493408203125,0.00305,1,10.0,1.9656323242187284,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
3.700186,0,354.8058776855469,354.8058776855469,352.86011047363286,1.945767211914017,1.945767211914017,0.00305,1,10.0,1.9621543884277117,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
3.800146,0,354.802001953125,354.802001953125,352.8595184326172,1.9424835205077784,1.9424835205077784,0.00305,1,10.0,1.958635406494119,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
3.900106,0,354.7984313964844,354.7984313964844,352.85975494384763,1.9386764526367415,1.9386764526367415,0.00305,1,10.0,1.9551007080077967,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
4.000066,0,354.79473876953125,354.79473876953125,352.86022796630857,1.934510803222679,1.934510803222679,0.00305,1,10.0,1.951371154785147,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
4.100026,0,354.7911071777344,354.7911071777344,352.8605194091797,1.9305877685546875,1.9305877685546875,0.00305,1,10.0,1.9476040649414017,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
4.199986,0,354.7872619628906,354.7872619628906,352.8602935791016,1.926968383789017,1.926968383789017,0.00305,1,10.0,1.9438572692870877,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
4.300779,0,354.7833251953125,354.7833251953125,352.85996704101564,1.9233581542968636,1.9233581542968636,0.00305,1,10.0,1.9401402282714684,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
4.400739,0,354.7793884277344,354.7793884277344,352.85963439941406,1.9197540283203125,1.9197540283203125,0.00305,1,10.0,1.9364326477050668,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
4.500699,0,354.7758178710937,354.7758178710937,352.8614974975586,1.9143203735350767,1.9143203735350767,0.00305,1,10.0,1.9325767517089674,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
4.600659,0,354.7723083496094,354.7723083496094,352.8620681762696,1.910240173339787,1.910240173339787,0.00305,1,10.0,1.928666687011696,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
4.700619,0,354.76861572265625,354.76861572265625,352.8616363525391,1.906979370117142,1.906979370117142,0.00305,1,10.0,1.9247879028320085,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
4.800579,0,354.7650756835937,354.7650756835937,352.86069030761723,1.9043853759764602,1.9043853759764602,0.00305,1,10.0,1.9209780883788767,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
4.900539,0,354.7611694335937,354.7611694335937,352.8603729248047,1.9007965087889716,1.9007965087889716,0.00305,1,10.0,1.9171900939940998,1,1,1,baseline_03_forward_motion,Yaw,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
