x,AttackActive,CleanFuture_Yaw,AttackedFuture_Yaw,V9PredictedFuture_Yaw,Residual_Yaw,AbsResidual_Yaw,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
0.100793,0,354.5175476074219,354.5175476074219,172.59325408935547,181.9242935180664,181.9242935180664,0.003797,1,1.0,181.9242935180664,0,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.200753,0,354.516357421875,354.516357421875,172.5930587768555,181.9232986450195,181.9232986450195,0.003797,1,2.0,181.92379608154295,0,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.300713,0,354.5150451660156,354.5150451660156,172.59209442138672,181.9229507446289,181.9229507446289,0.003797,1,3.0,181.9235143025716,0,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.400673,0,354.5137023925781,354.5137023925781,172.59241943359376,181.92128295898436,181.92128295898436,0.003797,1,4.0,181.9229564666748,0,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.500633,0,354.51239013671875,354.51239013671875,172.59304428100586,181.9193458557129,181.9193458557129,0.003797,1,5.0,181.92223434448243,0,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.600593,0,354.5109558105469,354.5109558105469,172.59344940185548,181.9175064086914,181.9175064086914,0.003797,1,6.0,181.92144635518392,0,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.700553,0,354.5095520019531,354.5095520019531,172.59405899047852,181.9154930114746,181.9154930114746,0.003797,1,7.0,181.92059587751118,0,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.800513,0,354.5081787109375,354.5081787109375,172.59501876831058,181.91315994262692,181.91315994262692,0.003797,1,8.0,181.91966638565063,1,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.900473,0,354.50665283203125,354.50665283203125,172.59528350830078,181.91136932373047,181.91136932373047,0.003797,1,9.0,181.91874448988173,1,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.000433,0,354.5052795410156,354.5052795410156,172.5952445983887,181.91003494262694,181.91003494262694,0.003797,1,10.0,181.91787353515625,1,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.100393,0,354.5036315917969,354.5036315917969,172.59476699829102,181.90886459350585,181.90886459350585,0.003797,1,11.0,181.91705454046075,1,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.200353,0,354.50213623046875,354.50213623046875,172.5931594848633,181.90897674560546,181.90897674560546,0.003797,1,12.0,181.91638139088948,1,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.300313,0,354.50079345703125,354.50079345703125,172.59004364013674,181.9107498168945,181.9107498168945,0.003797,1,13.0,181.91594819288986,1,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.400273,0,354.49920654296875,354.49920654296875,172.58838958740236,181.9108169555664,181.9108169555664,0.003797,1,14.0,181.9155816759382,1,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.500233,0,354.4976501464844,354.4976501464844,172.58826446533203,181.90938568115234,181.90938568115234,0.003797,1,15.0,181.91516860961914,1,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.600193,0,354.4960632324219,354.4960632324219,172.58998489379883,181.90607833862305,181.90607833862305,0.003797,1,16.0,181.91460046768188,1,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
1.700153,0,354.4945678710937,354.4945678710937,172.59016189575198,181.90440597534172,181.90440597534172,0.003797,1,17.0,181.9140007916619,1,1,1,baseline_04_yaw_rotation,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
