x,AttackActive,CleanFuture_Yaw,AttackedFuture_Yaw,V9PredictedFuture_Yaw,Residual_Yaw,AbsResidual_Yaw,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
0.09996,0,354.59893798828125,354.59893798828125,83.02487182617188,271.5740661621094,271.5740661621094,0.004795,1,1.0,271.5740661621094,0,1,1,baseline_05_mixed_maneuver,Yaw,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.19992,0,354.59765625,354.59765625,83.02445220947266,271.57320404052734,271.57320404052734,0.004795,1,2.0,271.57363510131836,0,1,1,baseline_05_mixed_maneuver,Yaw,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.29988,0,354.5963439941406,354.5963439941406,83.0271987915039,271.5691452026367,271.5691452026367,0.004795,1,3.0,271.5721384684245,0,1,1,baseline_05_mixed_maneuver,Yaw,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.39984,0,354.594482421875,354.594482421875,83.0295181274414,271.5649642944336,271.5649642944336,0.004795,1,4.0,271.57034492492676,0,1,1,baseline_05_mixed_maneuver,Yaw,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.4998,0,354.5926818847656,354.5926818847656,83.02839660644531,271.5642852783203,271.5642852783203,0.004795,1,5.0,271.56913299560546,1,1,1,baseline_05_mixed_maneuver,Yaw,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.59976,0,354.5906677246094,354.5906677246094,83.02595520019531,271.56471252441406,271.56471252441406,0.004795,1,6.0,271.5683962504069,1,1,1,baseline_05_mixed_maneuver,Yaw,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.69972,0,354.588623046875,354.588623046875,83.02389526367188,271.5647277832031,271.5647277832031,0.004795,1,7.0,271.5678721836635,1,1,1,baseline_05_mixed_maneuver,Yaw,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.79968,0,354.58697509765625,354.58697509765625,83.02294921875,271.56402587890625,271.56402587890625,0.004795,1,8.0,271.56739139556885,1,1,1,baseline_05_mixed_maneuver,Yaw,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.89964,0,354.5851135253906,354.5851135253906,83.02445220947266,271.56066131591797,271.56066131591797,0.004795,1,9.0,271.566643608941,1,1,1,baseline_05_mixed_maneuver,Yaw,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.9996,0,354.5834045410156,354.5834045410156,83.0251235961914,271.5582809448242,271.5582809448242,0.004795,1,10.0,271.5658073425293,1,1,1,baseline_05_mixed_maneuver,Yaw,pulse,W20_N5_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
