x,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
0.09996,0,0.0680984780192375,0.0680984780192375,0.0929901156574487,-0.0248916376382112,0.0248916376382112,0.010307,1,1.0,0.0248916376382112,0,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.19992,0,0.0681865140795707,0.0681865140795707,0.0868056654930114,-0.0186191514134407,0.0186191514134407,0.010307,1,2.0,0.02175539452582595,0,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.29988,0,0.0684655457735061,0.0684655457735061,0.084722527116537,-0.0162569813430309,0.0162569813430309,0.010307,1,3.0,0.019922590131560933,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.39984,0,0.0683865547180175,0.0683865547180175,0.0865968074649572,-0.0182102527469397,0.0182102527469397,0.010307,1,4.0,0.019494505785405625,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.4998,0,0.0686079561710357,0.0686079561710357,0.0882742367684839,-0.019666280597448196,0.019666280597448196,0.010307,1,5.0,0.01952886074781414,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.59976,0,0.0688968002796173,0.0688968002796173,0.0842332374304532,-0.015336437150835908,0.015336437150835908,0.010307,1,6.0,0.0188301234816511,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.69972,0,0.0694076716899871,0.0694076716899871,0.077112679183483,-0.007705007493495897,0.007705007493495897,0.010307,0,6.0,0.017240821197628927,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.79968,0,0.0701526552438736,0.0701526552438736,0.0901700694113969,-0.020017414167523298,0.020017414167523298,0.010307,1,7.0,0.017587895318865725,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.89964,0,0.0709775611758232,0.0709775611758232,0.0936177942901849,-0.022640233114361696,0.022640233114361696,0.010307,1,8.0,0.018149266185031945,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
0.9996,0,0.0718539804220199,0.0718539804220199,0.1040325775742529,-0.03217859715223299,0.03217859715223299,0.010307,1,9.0,0.019552199281752048,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.09956,0,0.0729111433029174,0.0729111433029174,0.1104806270450353,-0.03756948374211791,0.03756948374211791,0.010307,1,9.0,0.020819983892142718,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
1.19952,0,0.0740908160805702,0.0740908160805702,0.1115067977458237,-0.037415981665253506,0.037415981665253506,0.010307,1,9.0,0.022699666917324002,1,1,1,baseline_05_mixed_maneuver,Roll,ramp,W10_N3_mean1x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
