x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,Residual_Pitch,AbsResidual_Pitch,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile
0.0,baseline_05_mixed_maneuver,Pitch,ramp,0.058182000000000005,0,0.0719339177012443,0.0719339177012443,0.0781978759914636,-0.006263958290219307,0.006263958290219307,0.009697,0,0.0,0.006263958290219307,0,0,0,W30_N8_mean1x,30,8,1.0,1909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv
0.09996,baseline_05_mixed_maneuver,Pitch,ramp,0.058182000000000005,0,0.0820606499910354,0.0820606499910354,0.0896556992083787,-0.007595049217343289,0.007595049217343289,0.009697,0,0.0,0.006929503753781298,0,0,0,W30_N8_mean1x,30,8,1.0,1909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv
0.19992,baseline_05_mixed_maneuver,Pitch,ramp,0.058182000000000005,0,0.085509568452835,0.085509568452835,0.0880962572991846,-0.002586688846349605,0.002586688846349605,0.009697,0,0.0,0.0054818987846374,0,0,0,W30_N8_mean1x,30,8,1.0,1909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv
0.29988,baseline_05_mixed_maneuver,Pitch,ramp,0.058182000000000005,0,0.0915398001670837,0.0915398001670837,0.0960624739527702,-0.004522673785686507,0.004522673785686507,0.009697,0,0.0,0.005242092534899677,0,0,0,W30_N8_mean1x,30,8,1.0,1909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv
0.39984,baseline_05_mixed_maneuver,Pitch,ramp,0.058182000000000005,0,0.0997596755623817,0.0997596755623817,0.1059245821088552,-0.006164906546473503,0.006164906546473503,0.009697,0,0.0,0.005426655337214442,0,0,0,W30_N8_mean1x,30,8,1.0,1909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv
0.4998,baseline_05_mixed_maneuver,Pitch,ramp,0.058182000000000005,0,0.1069304198026657,0.1069304198026657,0.1123084779828787,-0.005378058180213002,0.005378058180213002,0.009697,0,0.0,0.005418555811047536,0,0,0,W30_N8_mean1x,30,8,1.0,1909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv
0.600593,baseline_05_mixed_maneuver,Pitch,ramp,0.058182000000000005,0,0.1066584214568138,0.1066584214568138,0.1064544226974248,0.00020399875938899303,0.00020399875938899303,0.009697,0,0.0,0.004673619089382029,0,0,0,W30_N8_mean1x,30,8,1.0,1909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv
0.700553,baseline_05_mixed_maneuver,Pitch,ramp,0.058182000000000005,0,0.0968152657151222,0.0968152657151222,0.0894328989088535,0.007382366806268692,0.007382366806268692,0.009697,0,0.0,0.005012212553992862,0,0,0,W30_N8_mean1x,30,8,1.0,1909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv
0.800513,baseline_05_mixed_maneuver,Pitch,ramp,0.058182000000000005,0,0.0878987312316894,0.0878987312316894,0.0812113303691147,0.006687400862574702,0.006687400862574702,0.009697,0,0.0,0.005198344588279734,0,0,0,W30_N8_mean1x,30,8,1.0,1909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv
0.900473,baseline_05_mixed_maneuver,Pitch,ramp,0.058182000000000005,0,0.082177996635437,0.082177996635437,0.0778874456882477,0.004290550947189303,0.004290550947189303,0.009697,0,0.0,0.00510756522417069,0,0,0,W30_N8_mean1x,30,8,1.0,1909,Pitch_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv
