x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_yaw_static_global,PointExceed_yaw_static_global,WindowCount_yaw_static_global,WindowDetection_yaw_static_global
0.0,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
0.09996,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
0.19992,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
0.29988,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
0.39984,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
0.4998,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
0.600593,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
0.700553,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
0.800513,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
0.900473,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
1.000433,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
1.100393,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
1.200353,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
1.300313,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
1.400273,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
1.500233,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
1.600193,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
1.700153,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
1.800113,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
1.900073,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
2.000033,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
2.099993,baseline_05_mixed_maneuver,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.004795,0,0.0,0,0.013596,0,0.0,0
