baseline,axis,clean_file,prediction_file,prediction_column,alignment_offset,n_prediction,alignment_median_abs_error,alignment_mean_abs_error,threshold_p99_abs,alignment_error_over_threshold
baseline_01_hover,Roll,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,1001,250,0.0010060570931713989,0.001490444860582856,0.006865,0.14654873899073545
baseline_01_hover,Pitch,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction,1001,250,0.0011148712984028405,0.0014648353997559478,0.009161,0.12169755467774702
baseline_01_hover,Yaw,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,1001,250,0.0002815246581917563,0.0008145263671931388,0.013596,0.020706432641347184
baseline_02_high_altitude_hover,Roll,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,1127,282,0.0005653018018327016,0.001078062056842407,0.006861,0.08239349975698901
baseline_02_high_altitude_hover,Pitch,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction,1127,282,0.001455640528005002,0.0017601007222319536,0.007947,0.183168557695357
baseline_02_high_altitude_hover,Yaw,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,1127,282,0.000308990478515625,0.000752095973242144,0.010773,0.02868193432800752
baseline_03_forward_motion,Roll,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,909,227,0.0014598159565010066,0.0015162942289918073,0.006821,0.2140178795632615
baseline_03_forward_motion,Pitch,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction,909,227,0.0038299111846024914,0.003678082757321113,0.01619,0.23656029552825766
baseline_03_forward_motion,Yaw,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,909,227,0.00023345947261077526,0.0004262646914447529,0.00305,0.07654408938058205
baseline_04_yaw_rotation,Yaw,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,1477,369,0.0008392333984375,0.0008464885597989322,0.003797,0.2210253880530682
baseline_05_mixed_maneuver,Roll,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,1909,477,0.0007527478039264096,0.001613812423867625,0.010307,0.07303267720252349
baseline_05_mixed_maneuver,Pitch,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction,1909,477,0.0008168779313564994,0.0015466914471215468,0.009697,0.08424027342028456
baseline_05_mixed_maneuver,Yaw,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,1909,477,0.0,0.0,0.004795,0.0
