baseline,axis,attack_type,threshold_method,dynamic_method_detail,dynamic_note,W,N,TP,FP,TN,FN,precision,recall,f1,false_positive_rate,detection_delay_samples,n_eval_samples,input_segment_csv
baseline_01_hover,Pitch,bias,static_global,,,10,3,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Pitch_bias_aligned_attacked_segment.csv
baseline_01_hover,Pitch,bias,scenario_specific,,,10,3,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Pitch_bias_aligned_attacked_segment.csv
baseline_01_hover,Pitch,bias,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,10,3,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Pitch_bias_aligned_attacked_segment.csv
baseline_01_hover,Pitch,pulse,static_global,,,10,3,10,7,231,2,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.029411764705882353,2,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Pitch_pulse_aligned_attacked_segment.csv
baseline_01_hover,Pitch,pulse,scenario_specific,,,10,3,10,7,231,2,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.029411764705882353,2,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Pitch_pulse_aligned_attacked_segment.csv
baseline_01_hover,Pitch,pulse,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,10,3,10,7,231,2,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.029411764705882353,2,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Pitch_pulse_aligned_attacked_segment.csv
baseline_01_hover,Pitch,ramp,static_global,,,10,3,55,7,168,20,0.8870967741935484,0.7333333333333333,0.8029197080291971,0.04,20,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Pitch_ramp_aligned_attacked_segment.csv
baseline_01_hover,Pitch,ramp,scenario_specific,,,10,3,59,7,168,16,0.8939393939393939,0.7866666666666666,0.8368794326241135,0.04,16,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Pitch_ramp_aligned_attacked_segment.csv
baseline_01_hover,Pitch,ramp,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,10,3,59,7,168,16,0.8939393939393939,0.7866666666666666,0.8368794326241135,0.04,16,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Pitch_ramp_aligned_attacked_segment.csv
baseline_01_hover,Roll,bias,static_global,,,10,3,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_01_hover_Roll_bias_aligned_attacked_segment.csv
