x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_yaw_static_global,PointExceed_yaw_static_global,WindowCount_yaw_static_global,WindowDetection_yaw_static_global
0.0,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0013595581054914,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
0.09996,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0004394531249545,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
0.19992,baseline_02_high_altitude_hover,Yaw,pulse,0,0.002101135253838,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
0.29988,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0014144897460823,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
0.39984,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0005218505859829,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
0.4998,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0018402099609602,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
0.59976,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0009750366211278,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
0.69972,baseline_02_high_altitude_hover,Yaw,pulse,0,0.000576782226517,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
0.79968,baseline_02_high_altitude_hover,Yaw,pulse,0,0.0007827758788607,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
0.89964,baseline_02_high_altitude_hover,Yaw,pulse,0,9.613037104827526e-05,0.013596,0,0.0,0,0.010773,0,0.0,0,0.013596,0,0.0,0
