x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_dynamic_xkf1,PointExceed_dynamic_xkf1,WindowCount_dynamic_xkf1,WindowDetection_dynamic_xkf1
0.0,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0062639582902193,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
0.09996,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0075950492173432,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
0.19992,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0025866888463496,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
0.29988,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0045226737856865,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
0.39984,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0061649065464735,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
0.4998,baseline_05_mixed_maneuver,Pitch,ramp,0,0.005378058180213,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
0.600593,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0002039987593889,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
0.700553,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0073823668062686,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
0.800513,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0066874008625747,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
0.900473,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0042905509471893,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
1.000433,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0037713199853897,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
1.100393,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0029686577618123,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
1.200353,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0021431855857372,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
1.300313,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0022391080856323,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
1.400273,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0056495256721973,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
1.500233,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0047590266913176,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
1.600193,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0037916433066129,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
1.700153,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0049775429069994,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
1.800113,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0021166261285543,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
1.900073,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0020623560994863,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
2.000033,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0014176759868858,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
2.099993,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0013590585440396,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
2.199953,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0010282024741172,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
2.299913,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0013097058981657,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
2.399873,baseline_05_mixed_maneuver,Pitch,ramp,0,0.001141883432865,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
2.499833,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0053501352667809,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
2.599793,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0066858083009718,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
2.700586,baseline_05_mixed_maneuver,Pitch,ramp,0,0.002573249861598,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
2.800546,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0025529433041811,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
2.900506,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0016297772526741,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
3.000466,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0001786127686499,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
3.100426,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0014322996139526,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
3.200386,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0040817633271218,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
3.300346,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0042679198086262,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
3.400306,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0004623793065549,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
3.500266,baseline_05_mixed_maneuver,Pitch,ramp,0,0.002444302663207,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
3.600226,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0005668569356203,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
3.700186,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0024327971041202,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
3.800146,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0036892611533403,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
3.900106,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0056126676499844,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
4.000066,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0006477981805801,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
4.100026,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0062084756791592,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
4.199986,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0034012086689471,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
4.299946,baseline_05_mixed_maneuver,Pitch,ramp,0,0.000389004126191,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
4.399906,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0031859949231148,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
4.499866,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0023832600563764,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
4.599826,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0012373812496662,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
4.700619,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0001397766172886,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
4.800579,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0020747892558573,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
4.900539,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0025581121444702,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
5.000499,baseline_05_mixed_maneuver,Pitch,ramp,0,0.004815811291337,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
5.100459,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0037503093481064,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
5.200419,baseline_05_mixed_maneuver,Pitch,ramp,0,0.000175891444087,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
5.300379,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0040019452571868,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
5.400339,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0069952178746461,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
5.500299,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0050041191279888,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
5.600259,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0005693770945073,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
5.700219,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0017512310296297,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
5.800179,baseline_05_mixed_maneuver,Pitch,ramp,0,0.0005194656550882,0.01619,0,0.0,0,0.009697,0,0.0,0,0.009161,0,0.0,0
