x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile,Roll_component_true_future,Roll_component_original_hybrid,Roll_component_arx,Roll_component_naive,Roll_component_cv,Phase5B_PredictionFile,XKF1_TimeUS,XKF1_VN,XKF1_VE,XKF1_VD,XKF1_GX,XKF1_GY,XKF1_GZ,XKF1_Roll,XKF1_Pitch,XKF1_Yaw,Phase5B_XKF1File,horizontal_speed,accel_proxy,gyro_proxy,flight_context,w_naive_adaptive,w_cv_adaptive,w_arx_adaptive,AdaptiveV9PredictedFuture_Roll_Phase5B,OriginalV9RecoveredFuture_Roll_Phase5B,AdaptiveV9RecoveredFuture_Roll_Phase5B,AttackedError_Roll_Phase5B,OriginalV9RecoveredError_Roll_Phase5B,AdaptiveV9RecoveredError_Roll_Phase5B
0.0,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0985497534275055,0.0985497534275055,0.0929901156574487,0.0055596377700567,0.0055596377700567,0.010307,0,0.0,0.0055596377700567,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.091432124376297,0.0929901156574487,0.0921776953967805,0.0985497534275055,0.0899964645504951,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,65945278.0,-0.0145767582580447,0.0169839765876531,-0.0001413240679539,0.03,0.03,-0.05,0.06,0.05,354.59,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_XKF1.csv,0.02238162956630779,0.0,0.06557438524302,hover,0.8,0.1,0.1,0.09705721873673197,0.0985497534275055,0.0985497534275055,0.0,0.0,0.0
0.09996,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.091432124376297,0.091432124376297,0.0868056654930114,0.0046264588832855,0.0046264588832855,0.010307,0,0.0,0.0050930483266711,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0873657017946243,0.0868056654930114,0.0866565143127876,0.091432124376297,0.0843144953250885,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,66445078.0,-0.012975966567643136,0.01529137474218644,-0.00010972574820399064,0.03,0.03,-0.05,0.06,0.05,354.59,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_XKF1.csv,0.02005497070231143,0.002329685610406658,0.06557438524302,hover,0.8,0.1,0.1,0.0902428004648252,0.091432124376297,0.091432124376297,0.0,0.0,0.0
0.19992,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0873657017946243,0.0873657017946243,0.084722527116537,0.0026431746780873,0.0026431746780873,0.010307,0,0.0,0.0042764237771432,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0868997052311897,0.084722527116537,0.0865167354649754,0.0873657017946243,0.0832992792129516,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,66944878.0,-0.007365026775387488,0.008936139437988254,-0.00020627966436782228,0.03,0.03,-0.04,0.07,0.05936974789915965,354.58063025210083,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_XKF1.csv,0.011580078041936663,0.008477715560458777,0.05830951894845301,hover,0.8,0.1,0.1,0.08687416290349215,0.0873657017946243,0.0873657017946243,0.0,0.0,0.0
0.29988,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0868997052311897,0.0868997052311897,0.0865968074649572,0.0003028977662325,0.0003028977662325,0.010307,0,0.0,0.0032830422744155,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0877327546477317,0.0865968074649572,0.0876638073865071,0.0868997052311897,0.0864337086677551,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,67444678.0,-0.00152830408857704,0.002110267814714419,-0.00022466510655100395,0.03,0.03,-0.04,0.07,0.06,354.57094537815124,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_XKF1.csv,0.0026055601388148514,0.008981083183009874,0.05830951894845301,hover,0.8,0.1,0.1,0.08692951579037798,0.0868997052311897,0.0868997052311897,0.0,0.0,0.0
0.39984,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0877327546477317,0.0877327546477317,0.0882742367684839,-0.0005414821207521,0.0005414821207521,0.010307,0,0.0,0.0027347302436828,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0856118351221084,0.0882742367684839,0.0885849605632929,0.0877327546477317,0.0885658040642737,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,67944478.0,0.001480791925163006,-0.0015275384722073218,-0.00017679229923109595,0.03,0.03,-0.04,0.08,0.07,354.5612605042017,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_XKF1.csv,0.002127467628355703,0.004721047913448197,0.05830951894845301,hover,0.8,0.1,0.1,0.08790128018094202,0.0877327546477317,0.0877327546477317,0.0,0.0,0.0
0.4998,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0856118351221084,0.0856118351221084,0.0842332374304532,0.0013785976916552,0.0013785976916552,0.010307,0,0.0,0.0025087081516782,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0804608315229415,0.0842332374304532,0.0813982452152552,0.0856118351221084,0.0834909155964851,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,68445111.0,0.0022082841982516803,-0.0023341969036136403,-8.783151273547611e-05,0.03,0.03,-0.04,0.09,0.07842436974789917,354.5515756302521,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_XKF1.csv,0.003213252913339934,0.001086251735263345,0.05830951894845301,hover,0.8,0.1,0.1,0.08497838417886076,0.0856118351221084,0.0856118351221084,0.0,0.0,0.0
0.600593,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0804608315229415,0.0804608315229415,0.077112679183483,0.0033481523394585,0.0033481523394585,0.010307,0,0.0,0.0026286287499325,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0863452181220054,0.077112679183483,0.0741953257791963,0.0804608315229415,0.0753098279237746,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,68944911.0,0.001627858848498762,-0.0016133484309304282,-0.0001735547860739714,0.03,0.03,-0.04,0.1,0.088109243697479,354.54189075630256,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_XKF1.csv,0.002291902613598883,0.0009254815542221882,0.05830951894845301,hover,0.8,0.1,0.1,0.0793191805886503,0.0804608315229415,0.0804608315229415,0.0,0.0,0.0
0.700553,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0863452181220054,0.0863452181220054,0.0901700694113969,-0.0038248512893915,0.0038248512893915,0.010307,0,0.0,0.0027781565673649,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0907528400421142,0.0901700694113969,0.0904495230146579,0.0863452181220054,0.0922296047210692,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,69444711.0,0.0003345877200498368,-8.549228090587698e-05,-0.00010015264283800779,0.03,0.03,-0.04,0.11,0.09,354.53,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_XKF1.csv,0.0003453373314639432,0.0020017229146031676,0.05830951894845301,hover,0.8,0.1,0.1,0.08734408727117704,0.0863452181220054,0.0863452181220054,0.0,0.0,0.0
0.800513,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0907528400421142,0.0907528400421142,0.0936177942901849,-0.0028649542480706,0.0028649542480706,0.010307,0,0.0,0.00278780075411,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.098801165819168,0.0936177942901849,0.0891927705594325,0.0907528400421142,0.095160461962223,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,69944511.0,-0.0011339000939339999,0.0018556239083408483,1.876742164163696e-07,0.03,0.03,-0.04,0.11252100840336139,0.1,354.52,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_XKF1.csv,0.0021746423872052384,0.0024340066803471916,0.05830951894845301,hover,0.8,0.1,0.1,0.09103759528585692,0.0907528400421142,0.0907528400421142,0.0,0.0,0.0
0.900473,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.098801165819168,0.098801165819168,0.1040325775742529,-0.0052314117550849,0.0052314117550849,0.010307,0,0.0,0.0030321618542075,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.1058796271681785,0.1040325775742529,0.1005262453545194,0.098801165819168,0.1068494915962217,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,70445144.0,-0.003089124405318268,0.004170323254446596,-0.0974759994340794,0.03,0.03,-0.03,0.12283613445378147,0.10716386554621854,354.51,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_XKF1.csv,0.005189825203040175,0.003029972800321888,0.05196152422706632,hover,0.8,0.1,0.1,0.09977850635040852,0.098801165819168,0.098801165819168,0.0,0.0,0.0
