x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_dynamic_xkf1,PointExceed_dynamic_xkf1,WindowCount_dynamic_xkf1,WindowDetection_dynamic_xkf1
0.0,baseline_05_mixed_maneuver,Roll,bias,0,0.0055596377700567,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
0.09996,baseline_05_mixed_maneuver,Roll,bias,0,0.0046264588832855,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
0.19992,baseline_05_mixed_maneuver,Roll,bias,0,0.0026431746780873,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
0.29988,baseline_05_mixed_maneuver,Roll,bias,0,0.0003028977662325,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
0.39984,baseline_05_mixed_maneuver,Roll,bias,0,0.0005414821207521,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
0.4998,baseline_05_mixed_maneuver,Roll,bias,0,0.0013785976916552,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
0.600593,baseline_05_mixed_maneuver,Roll,bias,0,0.0033481523394585,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
0.700553,baseline_05_mixed_maneuver,Roll,bias,0,0.0038248512893915,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
0.800513,baseline_05_mixed_maneuver,Roll,bias,0,0.0028649542480706,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
0.900473,baseline_05_mixed_maneuver,Roll,bias,0,0.0052314117550849,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
1.000433,baseline_05_mixed_maneuver,Roll,bias,0,0.0046009998768568,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
1.100393,baseline_05_mixed_maneuver,Roll,bias,0,0.0022167641669511,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
1.200353,baseline_05_mixed_maneuver,Roll,bias,0,0.0035039573907851,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
1.300313,baseline_05_mixed_maneuver,Roll,bias,0,0.0010749783366918,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
1.400273,baseline_05_mixed_maneuver,Roll,bias,0,0.0044754482805729,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
1.500233,baseline_05_mixed_maneuver,Roll,bias,0,0.0044131930917502,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
1.600193,baseline_05_mixed_maneuver,Roll,bias,0,0.0061162441968918,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
1.700153,baseline_05_mixed_maneuver,Roll,bias,0,0.0043669242411852,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
1.800113,baseline_05_mixed_maneuver,Roll,bias,0,0.0036565467715264,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
1.900073,baseline_05_mixed_maneuver,Roll,bias,0,0.0016494259238244,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
2.000033,baseline_05_mixed_maneuver,Roll,bias,0,0.0020547360181809,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
2.099993,baseline_05_mixed_maneuver,Roll,bias,0,0.0018358767032623,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
2.199953,baseline_05_mixed_maneuver,Roll,bias,0,0.0004528138786553,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
2.299913,baseline_05_mixed_maneuver,Roll,bias,0,0.0068339247256516,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
2.399873,baseline_05_mixed_maneuver,Roll,bias,0,0.006381832435727,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
2.499833,baseline_05_mixed_maneuver,Roll,bias,0,0.001170140877366,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
2.599793,baseline_05_mixed_maneuver,Roll,bias,0,0.0002109605818986,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
2.700586,baseline_05_mixed_maneuver,Roll,bias,0,0.0007633972913026,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
2.800546,baseline_05_mixed_maneuver,Roll,bias,0,0.0002159245312214,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
2.900506,baseline_05_mixed_maneuver,Roll,bias,0,0.0026969160884618,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
3.000466,baseline_05_mixed_maneuver,Roll,bias,0,0.0040319230407477,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
3.100426,baseline_05_mixed_maneuver,Roll,bias,0,0.0032406937330962,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
3.200386,baseline_05_mixed_maneuver,Roll,bias,0,0.0013045839965342,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
3.300346,baseline_05_mixed_maneuver,Roll,bias,0,0.0027409959584474,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
3.400306,baseline_05_mixed_maneuver,Roll,bias,0,0.0002098660916089,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
3.500266,baseline_05_mixed_maneuver,Roll,bias,0,0.0018938217312097,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
3.600226,baseline_05_mixed_maneuver,Roll,bias,0,0.0026522841304539,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
3.700186,baseline_05_mixed_maneuver,Roll,bias,0,3.970190882689184e-05,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
3.800146,baseline_05_mixed_maneuver,Roll,bias,0,0.0021391037851571,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
3.900106,baseline_05_mixed_maneuver,Roll,bias,0,0.0009993858635426,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
4.000066,baseline_05_mixed_maneuver,Roll,bias,0,0.0016979806125164,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
4.100026,baseline_05_mixed_maneuver,Roll,bias,0,0.0026805955916643,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
4.199986,baseline_05_mixed_maneuver,Roll,bias,0,0.0028631817549466,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
4.299946,baseline_05_mixed_maneuver,Roll,bias,0,0.0031491439789534,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,0.0,0
4.399906,baseline_05_mixed_maneuver,Roll,bias,0,0.0075242090970279,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,1,1.0,0
4.499866,baseline_05_mixed_maneuver,Roll,bias,0,0.0079222548753023,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,1,2.0,0
4.599826,baseline_05_mixed_maneuver,Roll,bias,0,0.0047003926709295,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,2.0,0
4.700619,baseline_05_mixed_maneuver,Roll,bias,0,0.000113553367555,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,2.0,0
4.800579,baseline_05_mixed_maneuver,Roll,bias,0,0.0001031823456287,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,2.0,0
4.900539,baseline_05_mixed_maneuver,Roll,bias,0,0.0014850683510303,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,2.0,0
5.000499,baseline_05_mixed_maneuver,Roll,bias,0,0.004517331905663,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,2.0,0
5.100459,baseline_05_mixed_maneuver,Roll,bias,0,0.0026554441079498,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,2.0,0
5.200419,baseline_05_mixed_maneuver,Roll,bias,0,0.0047937173396349,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,2.0,0
5.300379,baseline_05_mixed_maneuver,Roll,bias,0,0.0039923773147165,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,2.0,0
5.400339,baseline_05_mixed_maneuver,Roll,bias,0,0.0016210841946303,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,0,1.0,0
5.500299,baseline_05_mixed_maneuver,Roll,bias,0,0.0076959811151027,0.010307,0,0.0,0,0.010307,0,0.0,0,0.006865,1,1.0,0
5.600259,baseline_05_mixed_maneuver,Roll,bias,0,0.0118833096697925,0.010307,1,1.0,0,0.010307,1,1.0,0,0.006865,1,2.0,0
