baseline,axis,attack_type,attack_magnitude,detector,window_rule,W,N,rolling_mean_multiplier,threshold_type,threshold,TP,FP,TN,FN,precision,recall,f1,false_positive_rate,detection_delay_samples,n_eval_samples,alignment_offset,alignment_median_abs_error,alignment_mean_abs_error,alignment_error_over_threshold,clean_file,prediction_file,prediction_column,detection_csv,figure
baseline_01_hover,Roll,bias,0.02746,point,W10_N3_mean1x,10,3,1.0,p99_abs,0.006865,75,0,175,0,1.0,1.0,1.0,0.0,0,250,1001,0.0010060570931713989,0.001490444860582856,0.14654873899073545,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9_corrected/baseline_01_hover_Roll_bias_W10_N3_mean1x.png
baseline_01_hover,Roll,bias,0.02746,window_count,W10_N3_mean1x,10,3,1.0,p99_abs,0.006865,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,1001,0.0010060570931713989,0.001490444860582856,0.14654873899073545,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9_corrected/baseline_01_hover_Roll_bias_W10_N3_mean1x.png
baseline_01_hover,Roll,bias,0.02746,window_mean,W10_N3_mean1x,10,3,1.0,p99_abs,0.006865,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,1001,0.0010060570931713989,0.001490444860582856,0.14654873899073545,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9_corrected/baseline_01_hover_Roll_bias_W10_N3_mean1x.png
baseline_01_hover,Roll,bias,0.02746,window_combined,W10_N3_mean1x,10,3,1.0,p99_abs,0.006865,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,1001,0.0010060570931713989,0.001490444860582856,0.14654873899073545,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9_corrected/baseline_01_hover_Roll_bias_W10_N3_mean1x.png
baseline_01_hover,Roll,bias,0.02746,point,W10_N3_mean1.25x,10,3,1.25,p99_abs,0.006865,75,0,175,0,1.0,1.0,1.0,0.0,0,250,1001,0.0010060570931713989,0.001490444860582856,0.14654873899073545,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1.25x_detection.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9_corrected/baseline_01_hover_Roll_bias_W10_N3_mean1.25x.png
baseline_01_hover,Roll,bias,0.02746,window_count,W10_N3_mean1.25x,10,3,1.25,p99_abs,0.006865,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,1001,0.0010060570931713989,0.001490444860582856,0.14654873899073545,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1.25x_detection.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9_corrected/baseline_01_hover_Roll_bias_W10_N3_mean1.25x.png
baseline_01_hover,Roll,bias,0.02746,window_mean,W10_N3_mean1.25x,10,3,1.25,p99_abs,0.006865,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,1001,0.0010060570931713989,0.001490444860582856,0.14654873899073545,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1.25x_detection.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9_corrected/baseline_01_hover_Roll_bias_W10_N3_mean1.25x.png
baseline_01_hover,Roll,bias,0.02746,window_combined,W10_N3_mean1.25x,10,3,1.25,p99_abs,0.006865,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,1001,0.0010060570931713989,0.001490444860582856,0.14654873899073545,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1.25x_detection.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9_corrected/baseline_01_hover_Roll_bias_W10_N3_mean1.25x.png
baseline_01_hover,Roll,bias,0.02746,point,W10_N3_mean1.5x,10,3,1.5,p99_abs,0.006865,75,0,175,0,1.0,1.0,1.0,0.0,0,250,1001,0.0010060570931713989,0.001490444860582856,0.14654873899073545,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1.5x_detection.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9_corrected/baseline_01_hover_Roll_bias_W10_N3_mean1.5x.png
baseline_01_hover,Roll,bias,0.02746,window_count,W10_N3_mean1.5x,10,3,1.5,p99_abs,0.006865,73,7,168,2,0.9125,0.9733333333333334,0.9419354838709678,0.04,2,250,1001,0.0010060570931713989,0.001490444860582856,0.14654873899073545,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1.5x_detection.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9_corrected/baseline_01_hover_Roll_bias_W10_N3_mean1.5x.png
