t_sec,TimeUS,DesRoll,DesPitch,DesYaw,PN,PE,PD,Roll,Pitch,Yaw,VN,VE,VD,GX,GY,GZ
0.0,54645633,-0.0001420835760654,8.693498239153996e-05,354.856201171875,-0.010420867241919,0.0124294506385922,-0.003693732433021,0.06,0.05,354.85,-0.0138480560854077,0.0164314731955528,9.217689512297512e-05,0.02,0.02,-0.09
0.09996,54745593,-0.0001420835760654,8.693498966749758e-05,354.8540344238281,-0.0104738855734467,0.0124824130907654,-0.0036908783949911,0.06,0.05,354.85,-0.0138806756585836,0.0164567753672599,6.11960276728496e-05,0.02,0.02,-0.09
0.19992,54845553,-0.0001420835615135,8.693499694345519e-05,354.8520202636719,-0.0103872641921043,0.0123712727800011,-0.0036871368065476,0.06,0.05,354.85,-0.0136904940009117,0.0161841232329607,0.0001080649599316,0.02,0.02,-0.09
0.29988,54945513,-0.0001420835469616,8.693498966749758e-05,354.8489685058594,-0.0104435738176107,0.0124274520203471,-0.0036780682858079,0.06,0.05,354.84,-0.0135098835453391,0.0160128530114889,0.0001816190633689,0.02,0.02,-0.09
0.39984,55045473,-0.0001420835469616,8.693502604728565e-05,354.84619140625,-0.0103212455287575,0.0122849578037858,-0.0036627857480198,0.06,0.05,354.84,-0.0129881110042333,0.0154627887532114,0.0002333420416107,0.02,0.02,-0.09
0.4998,55145433,-0.0001420835033059,8.693496783962473e-05,354.8433532714844,-0.0102802338078618,0.0122472587972879,-0.003645648015663,0.06,0.05,354.84,-0.012454536743462,0.0149175729602575,0.0002453837369102,0.02,0.02,-0.09
0.59976,55245393,-0.0001420835324097,8.693496783962473e-05,354.84039306640625,-0.0100365877151489,0.0119710974395275,-0.0036301738582551,0.06,0.05,354.84,-0.0115723060443997,0.013889574445784,0.0002785450778901,0.02,0.02,-0.09
0.69972,55345353,-0.0001420835469616,8.693496056366712e-05,354.83770751953125,-0.0098279882222414,0.0117364814504981,-0.0036130319349467,0.06,0.05,354.83,-0.0107062198221683,0.0128263346850872,0.0002935900411102,0.02,0.02,-0.09
0.79968,55445313,-0.0001420835469616,8.69349532877095e-05,354.835205078125,-0.0094170393422245,0.0112529341131448,-0.0035997680388391,0.06,0.05,354.83,-0.0095191290602087,0.0113679859787225,0.0002793406019918,0.02,0.02,-0.09
0.89964,55545273,-0.0001420835324097,8.693496056366712e-05,354.832275390625,-0.0090203266590833,0.0107820015400648,-0.0035854515153914,0.06,0.05,354.83,-0.0083520263433456,0.0099863773211836,0.0003122745838481,0.02,0.02,-0.09
0.9996,55645233,-0.0001420835033059,8.693493873579428e-05,354.82940673828125,-0.0084402877837419,0.0100941620767116,-0.0035708264913409,0.06,0.05,354.82,-0.0070218271575868,0.0084919538348913,0.0003634205495472,0.02,0.02,-0.09
