t_sec,TimeUS,DesRoll,DesPitch,DesYaw,PN,PE,PD,Roll,Pitch,Yaw,VN,VE,VD,GX,GY,GZ
0.0,68245191,-0.0001420844637323,8.693485870026052e-05,354.5621643066406,-0.0114437295123934,0.0136670609936118,-0.0039231157861649,0.06,0.05,354.56,-0.0145634487271308,0.0175641756504774,-8.573375816922635e-05,0.03,0.03,-0.04
0.09996,68345151,-0.000142084507388,8.69348514243029e-05,354.560791015625,-0.0114558264613151,0.0136950658634305,-0.0039198654703795,0.06,0.05,354.56,-0.0145576521754264,0.0175786335021257,-8.981865539681166e-05,0.03,0.03,-0.04
0.19992,68445111,-0.0001420845510438,8.693488052813336e-05,354.5590209960937,-0.0113254804164171,0.0135535364970564,-0.0039136167615652,0.06,0.05,354.55,-0.0144103020429611,0.0173856075853109,-3.599782576202415e-05,0.03,0.03,-0.04
0.29988,68545071,-0.0001420845510438,8.69348514243029e-05,354.5574951171875,-0.0113612348213791,0.0136075560003519,-0.0039050297345966,0.06,0.05,354.55,-0.0143102947622537,0.0172509215772151,4.269788860256085e-06,0.03,0.03,-0.04
0.39984,68645031,-0.0001420845510438,8.693486597621813e-05,354.55596923828125,-0.0112355863675475,0.0134668927639722,-0.0038998839445412,0.06,0.05,354.55,-0.0139152398332953,0.0167826227843761,-3.475266566965729e-05,0.03,0.03,-0.04
0.4998,68744991,-0.0001420845219399,8.693489508004859e-05,354.5542907714844,-0.0112144378945231,0.0134476022794842,-0.0038995137438178,0.06,0.05,354.55,-0.0134990802034735,0.0163088236004114,-4.037428880110383e-05,0.03,0.03,-0.04
0.59976,68844951,-0.0001420845219399,8.693490963196382e-05,354.5528259277344,-0.0109854442998766,0.0131787676364183,-0.0039001856930553,0.06,0.05,354.55,-0.0127388425171375,0.0153370322659611,-6.52825619908981e-05,0.03,0.03,-0.04
0.69972,68944911,-0.0001420845510438,8.693492418387905e-05,354.55145263671875,-0.0108124502003192,0.0129770636558532,-0.0039079482667148,0.06,0.05,354.55,-0.0118912160396575,0.0143474508076906,-0.0001563823898322,0.03,0.03,-0.04
0.79968,69044871,-0.0001420845219399,8.693490963196382e-05,354.5497131347656,-0.0104195335879921,0.0125048123300075,-0.0039186226204037,0.07,0.05,354.54,-0.0107953995466232,0.012905890122056,-0.0001574561465531,0.03,0.03,-0.04
0.89964,69144831,-0.0001420844491804,8.693489508004859e-05,354.5481872558594,-0.0100515400990843,0.01205332018435,-0.0039288029074668,0.07,0.05,354.54,-0.0096367206424474,0.0115106422454118,-0.0001345070049865,0.03,0.03,-0.04
