t_sec,TimeUS,DesRoll,DesPitch,DesYaw,PN,PE,PD,Roll,Pitch,Yaw,VN,VE,VD,GX,GY,GZ
0.0,52344054,-0.0001420836051693,8.693504787515849e-05,354.9223022460937,-0.00972749479115,0.011375174857676,-0.0037649050354957,0.06,0.05,354.92,-0.0130484886467456,0.0154380891472101,1.146147678809939e-05,0.02,0.02,-0.11
0.100793,52444847,-0.000142083648825,8.693504787515849e-05,354.9201354980469,-0.009663637727499,0.0113220801576972,-0.0037614186294376,0.06,0.05,354.92,-0.0129215586930513,0.0153312776237726,2.419791962893214e-05,0.02,0.02,-0.1
0.200753,52544807,-0.0001420836197212,8.693506242707372e-05,354.9177551269531,-0.009735026396811,0.0114274723455309,-0.0037553908769041,0.06,0.05,354.91,-0.0128739289939403,0.0153089463710784,6.447083433158696e-05,0.02,0.02,-0.1
0.300713,52644767,-0.0001420836342731,8.693503332324326e-05,354.9150085449219,-0.0096499910578131,0.0113518498837947,-0.0037510015536099,0.06,0.05,354.91,-0.0125411329790949,0.0149399200454354,7.620717224199325e-05,0.02,0.02,-0.1
0.400673,52744727,-0.0001420836633769,8.69350551511161e-05,354.9120178222656,-0.0096660051494836,0.0113929035142064,-0.003748009679839,0.06,0.05,354.91,-0.0122212944552302,0.0145830577239394,4.123237522435375e-05,0.02,0.02,-0.1
0.500633,52844687,-0.0001420836342731,8.69350551511161e-05,354.9091186523437,-0.0095011172816157,0.0112194241955876,-0.0037494238931685,0.06,0.05,354.9,-0.0115506704896688,0.0138499606400728,2.679998397070449e-05,0.02,0.02,-0.1
0.600593,52944647,-0.0001420836197212,8.693507697898895e-05,354.90606689453125,-0.009385853074491,0.011108131147921,-0.0037456487771123,0.06,0.05,354.9,-0.0108732404187321,0.013074604794383,8.50067226565443e-05,0.02,0.02,-0.1
0.700553,53044607,-0.0001420836633769,8.69351060828194e-05,354.9031677246094,-0.0090739140287041,0.0107565419748425,-0.0037432869430631,0.06,0.05,354.9,-0.009898405522108,0.0118984458968043,7.461151835741475e-05,0.02,0.02,-0.1
0.800513,53144567,-0.0001420836342731,8.693508425494656e-05,354.9003601074219,-0.0087840510532259,0.0104235103353858,-0.0037370000500231,0.06,0.05,354.9,-0.0089221717789769,0.0107085639610886,9.831889474298804e-05,0.02,0.02,-0.1
0.900473,53244527,-0.0001420835760654,8.693509153090417e-05,354.89678955078125,-0.0083986297249794,0.0099704656749963,-0.0037318172398954,0.06,0.05,354.89,-0.0078132934868335,0.009314046241343,0.0001316072011832,0.02,0.02,-0.1
1.000433,53344487,-0.0001420835469616,8.693506970303133e-05,354.8936767578125,-0.0079173976555466,0.0094013921916484,-0.003728071693331,0.06,0.05,354.89,-0.0066139982081949,0.0079471245408058,9.186183888232335e-05,0.02,0.02,-0.1
1.100393,53444447,-0.0001420835615135,8.69350551511161e-05,354.8903503417969,-0.0073662842623889,0.0087578566744923,-0.0037264772690832,0.06,0.05,354.89,-0.0054169627837836,0.0066027753055095,6.478610885096714e-05,0.02,0.02,-0.1
1.200353,53544407,-0.0001420835178578,8.693504787515849e-05,354.8874206542969,-0.0067624310031533,0.0080524198710918,-0.0037268665619194,0.07,0.05,354.88,-0.0042883865535259,0.0052691474556922,5.025239443057217e-05,0.02,0.02,-0.1
1.300313,53644367,-0.0001420835033059,8.693503332324326e-05,354.884521484375,-0.0061384383589029,0.0073212287388741,-0.0037258255761116,0.07,0.05,354.88,-0.0032342432532459,0.0039973841048777,8.473298657918349e-05,0.02,0.02,-0.1
1.400273,53744327,-0.0001420835178578,8.693503332324326e-05,354.88153076171875,-0.0055089341476559,0.0065756356343626,-0.0037241938989609,0.07,0.06,354.88,-0.0023139659315347,0.0028610380832105,4.232651190250181e-05,0.02,0.02,-0.1
1.500233,53844287,-0.0001420835615135,8.693503332324326e-05,354.8782043457031,-0.0048979162238538,0.0058470531366765,-0.0037261811085045,0.07,0.06,354.87,-0.0014771115966141,0.0018157974118366,3.435853432165459e-05,0.02,0.02,-0.1
1.600193,53944247,-0.0001420835615135,8.693504059920087e-05,354.8750915527344,-0.0043122339993715,0.0051472447812557,-0.0037283792626112,0.07,0.06,354.87,-0.0007668804028071,0.0009463590104132,5.085942029836588e-05,0.02,0.02,-0.1
1.700153,54044207,-0.0001420835760654,8.693501149537042e-05,354.87188720703125,-0.0037651939783245,0.0044913063757121,-0.0037287378218024,0.07,0.06,354.87,-0.0001509905414422,0.0002142335288226,3.824934537988156e-05,0.02,0.02,-0.1
1.800113,54144167,-0.0001420835615135,8.693502604728565e-05,354.8688659667969,-0.0032567256130278,0.0038874461315572,-0.003731696633622,0.07,0.06,354.86,0.0003747546579688,-0.0003567057719919,-3.324493081890978e-05,0.02,0.02,-0.09
1.900073,54244127,-0.0001420835906174,8.693504059920087e-05,354.8656921386719,-0.0027955255936831,0.0033416368532925,-0.0037367022596299,0.08,0.06,354.86,0.0007735131075605,-0.0008327760733664,-2.910489092755597e-05,0.02,0.02,-0.09
2.000033,54344087,-0.0001420835760654,8.693502604728565e-05,354.8624572753906,-0.0023837299086153,0.0028504393994808,-0.0037418606225401,0.08,0.06,354.86,0.0010553488973528,-0.0012308363802731,-9.430424142919946e-06,0.02,0.02,-0.09
2.099993,54444047,-0.0001420836197212,8.693501877132803e-05,354.8594055175781,-0.0020193920936435,0.0024089736398309,-0.0037416017148643,0.08,0.07,354.85,0.0012711441377177,-0.0015794702339917,3.096885120612569e-05,0.02,0.02,-0.09
2.200786,54544840,-0.0001420835615135,8.693501149537042e-05,354.8562927246094,-0.0016929289558902,0.002009266288951,-0.003735102713108,0.08,0.07,354.85,0.0014051123289391,-0.0017489491729065,6.015340841258876e-05,0.02,0.02,-0.09
2.300746,54644800,-0.0001420835760654,8.69350042194128e-05,354.8537292480469,-0.0014191685477271,0.0016690981574356,-0.0037309119943529,0.08,0.07,354.85,0.0014809155836701,-0.0018623613286763,4.6105549699859694e-05,0.02,0.02,-0.09
2.400706,54744760,-0.0001420835615135,8.69350042194128e-05,354.8507995605469,-0.0012100043240934,0.0014080378459766,-0.0037297292146831,0.08,0.07,354.85,0.0015044645406305,-0.0018988961819559,1.452570631954586e-05,0.02,0.02,-0.09
2.500666,54844720,-0.0001420835615135,8.69350042194128e-05,354.8478698730469,-0.0010067473631352,0.0011582066072151,-0.0037275343202054,0.08,0.07,354.84,0.0015087651554495,-0.0019453268032521,6.391754141077399e-05,0.02,0.02,-0.09
2.600626,54944680,-0.0001420835469616,8.69350042194128e-05,354.84442138671875,-0.0008588478085584,0.0009720503003336,-0.0037204567342996,0.09,0.07,354.84,0.0014793646987527,-0.0018665952375158,0.0001325210905633,0.02,0.02,-0.09
2.700586,55044640,-0.0001420835469616,8.693499694345519e-05,354.8411560058594,-0.0007093573804013,0.0007997166248969,-0.0037073718849569,0.09,0.08,354.84,0.0014378856867551,-0.0017397705232724,0.000182866686373,0.02,0.02,-0.09
2.800546,55144600,-0.0001420835760654,8.693498966749758e-05,354.8377380371094,-0.0006058864528313,0.0006900273729115,-0.0036927913315594,0.09,0.08,354.83,0.0013316030381247,-0.0015256748301908,0.0001908486156025,0.02,0.02,-0.09
2.900506,55244560,-0.0001420835615135,8.69350042194128e-05,354.8340759277344,-0.0005049548344686,0.0005856116767972,-0.0036800887901335,0.09,0.08,354.83,0.0011965015437453,-0.0013327650958672,0.0002276949817314,0.02,0.02,-0.09
3.000466,55344520,-0.0001420835469616,8.693498239153996e-05,354.8307189941406,-0.0004488132835831,0.0005333939916454,-0.0036659403704106,0.09,0.08,354.83,0.0009931960375979,-0.0011174331884831,0.0002375309704802,0.02,0.02,-0.09
3.100426,55444480,-0.0001420835324097,8.693497511558235e-05,354.82745361328125,-0.0003955066495109,0.0004762779572047,-0.0036560983862727,0.09,0.08,354.82,0.0007936024921946,-0.0009233382879756,0.0002272891288157,0.02,0.02,-0.09
3.200386,55544440,-0.0001420835178578,8.693497511558235e-05,354.82379150390625,-0.0003833852824755,0.0004638735554181,-0.0036453062202781,0.1,0.08,354.82,0.0005951459752395,-0.0006720699602738,0.0002637426368892,0.02,0.02,-0.09
3.300346,55644400,-0.0001420834596501,8.693496783962473e-05,354.82037353515625,-0.0003637106856331,0.0004444834194146,-0.0036338146310299,0.1,0.09,354.82,0.0003868885105475,-0.0003219942445866,0.000313348689815,0.02,0.02,-0.09
3.400306,55744360,-0.0001420834450982,8.693494601175189e-05,354.8168640136719,-0.0003815937670879,0.0004769741208292,-0.0036199206952005,0.1,0.09,354.81,0.0001557272917125,1.607058038644027e-05,0.0002902390842791,0.02,0.02,-0.09
3.500266,55844320,-0.0001420835324097,8.69349532877095e-05,354.8132019042969,-0.0003873757959809,0.0004991585738025,-0.0036125462502241,0.1,0.09,354.81,-6.430114444810897e-05,0.0003251376911066,0.000286967435386,0.02,0.02,-0.09
3.600226,55944280,-0.0001420835178578,8.69349532877095e-05,354.8095397949219,-0.0004297908744774,0.0005655031418427,-0.0036029503680765,0.1,0.09,354.8,-0.000312038580887,0.0006827128236182,0.0002684247738216,0.02,0.02,-0.09
3.700186,56044240,-0.0001420835324097,8.69349532877095e-05,354.8058776855469,-0.0004604415444191,0.0006151481647975,-0.0036006425507366,0.1,0.09,354.8,-0.0006629259441979,0.0010251279454678,0.0002210918173659,0.02,0.02,-0.08
3.800146,56144200,-0.0001420835324097,8.69349532877095e-05,354.802001953125,-0.0005365689285099,0.0007131022284738,-0.0036005044821649,0.11,0.09,354.8,-0.0009869746863842,0.0014284357894212,0.0002314327575732,0.02,0.02,-0.08
3.900106,56244160,-0.0001420835033059,8.693496056366712e-05,354.7984313964844,-0.0005957421381026,0.0007871348061598,-0.0035995696671307,0.11,0.1,354.79,-0.0012972347903996,0.001768949907273,0.0002738597104325,0.02,0.02,-0.08
