t_sec,TimeUS,DesRoll,DesPitch,DesYaw,PN,PE,PD,Roll,Pitch,Yaw,VN,VE,VD,GX,GY,GZ
0.0,71144031,-0.0001420843909727,8.693461131770164e-05,354.5184936523437,-0.0114325312897562,0.013669348321855,-0.0038518144283443,0.06,0.05,354.51,-0.0145488260313868,0.017519012093544,-2.3367920221062377e-05,0.03,0.04,-0.03
0.100793,71244824,-0.0001420843618689,8.69345894898288e-05,354.5175476074219,-0.0113150738179683,0.0135445389896631,-0.003852313850075,0.06,0.05,354.51,-0.014456189237535,0.0173833277076482,-1.8321146853850223e-05,0.03,0.04,-0.03
0.200753,71344784,-0.0001420843182131,8.693460404174402e-05,354.516357421875,-0.0113601945340633,0.0136025073006749,-0.0038527543656527,0.06,0.05,354.51,-0.0144382668659091,0.0172514729201793,7.379980502264516e-07,0.03,0.04,-0.03
0.300713,71444744,-0.0001420843036612,8.69345894898288e-05,354.5150146484375,-0.0112340738996863,0.0134547799825668,-0.0038488048594444,0.06,0.05,354.51,-0.0140383411198854,0.016820153221488,3.607321559684351e-05,0.03,0.04,-0.03
0.400673,71544704,-0.0001420843182131,8.69345894898288e-05,354.5137023925781,-0.0112211927771568,0.0134439533576369,-0.0038447936531156,0.06,0.05,354.51,-0.0136199537664651,0.0163404215127229,2.058909012703225e-05,0.03,0.04,-0.03
0.500633,71644664,-0.0001420843036612,8.693459676578641e-05,354.51239013671875,-0.0109995696693658,0.0131869837641716,-0.0038413032889366,0.07,0.05,354.51,-0.0128102460876107,0.0154126426205039,2.2593800167669546e-05,0.03,0.04,-0.03
0.600593,71744624,-0.0001420843036612,8.693460404174402e-05,354.5109558105469,-0.0108291311189532,0.0129911163821816,-0.0038413410075008,0.07,0.05,354.51,-0.011915236711502,0.0144158117473125,1.2728375622828024e-05,0.03,0.04,-0.03
0.700553,71844584,-0.0001420842745574,8.693459676578641e-05,354.5095520019531,-0.0104353539645671,0.0125303650274872,-0.0038400683552026,0.07,0.05,354.5,-0.0107791190966963,0.0130750248208642,1.5163582247623708e-06,0.03,0.04,-0.03
0.800513,71944544,-0.0001420842454535,8.693459676578641e-05,354.5081787109375,-0.0100622000172734,0.0120943002402782,-0.0038364878855645,0.07,0.05,354.5,-0.0096504436805844,0.0116433594375848,5.092924038763158e-05,0.03,0.04,-0.03
0.900473,72044504,-0.0001420841872459,8.693458221387118e-05,354.50665283203125,-0.0094854086637496,0.0114126875996589,-0.0038329241797327,0.07,0.05,354.5,-0.0082174278795719,0.0100294975563883,2.220291571575217e-05,0.03,0.04,-0.03
1.000433,72144464,-0.0001420842017978,8.693458221387118e-05,354.5052795410156,-0.0089248614385724,0.0107592139393091,-0.003831629641354,0.07,0.06,354.5,-0.0068578175269067,0.0085113365203142,1.1978041584370658e-05,0.03,0.04,-0.03
1.100393,72244424,-0.0001420841872459,8.693461131770164e-05,354.5036315917969,-0.0082141123712062,0.0099246194586157,-0.0038322431501001,0.07,0.06,354.5,-0.0054939817637205,0.0068523618392646,3.177319740643725e-05,0.03,0.04,-0.03
1.200353,72344384,-0.0001420841435901,8.69345894898288e-05,354.50213623046875,-0.0075526419095695,0.0091410474851727,-0.0038314280100166,0.07,0.06,354.5,-0.0043793665245175,0.0054063866846263,3.5175049561075866e-05,0.03,0.04,-0.03
