t_sec,TimeUS,DesRoll,DesPitch,DesYaw,PN,PE,PD,Roll,Pitch,Yaw,VN,VE,VD,GX,GY,GZ
0.0,65945278,-0.0001420842017978,8.693488780409098e-05,354.5999755859375,-0.0113718835636973,0.013224733993411,-0.0037622950039803,0.06,0.05,354.59,-0.0145767582580447,0.0169839765876531,-0.0001413240679539,0.03,0.03,-0.05
0.09996,66045238,-0.000142084172694,8.693490963196382e-05,354.59893798828125,-0.0112576847895979,0.0130969686433672,-0.0037758059334009,0.06,0.05,354.59,-0.0144550092518329,0.0168348271399736,-0.0001514347095508,0.03,0.03,-0.05
0.19992,66145198,-0.0001420841872459,8.693488052813336e-05,354.59765625,-0.0112996427342295,0.0131502337753772,-0.003786462591961,0.06,0.05,354.59,-0.0144158639013767,0.0167839061468839,-0.0001087434939108,0.03,0.03,-0.05
0.29988,66245158,-0.0001420841872459,8.693485870026052e-05,354.5963439941406,-0.0111878411844372,0.0130269257351756,-0.0037930917460471,0.06,0.05,354.59,-0.0140403760597109,0.0164203941822052,-0.00010983676475,0.03,0.03,-0.05
0.39984,66345118,-0.0001420841872459,8.693486597621813e-05,354.594482421875,-0.0111967343837022,0.0130450977012515,-0.0037980887573212,0.06,0.05,354.59,-0.0137538034468889,0.0160617679357528,-0.000102382073237,0.03,0.03,-0.05
0.4998,66445078,-0.000142084172694,8.693485870026052e-05,354.5926818847656,-0.0110021028667688,0.0128305042162537,-0.0038021781947463,0.06,0.05,354.59,-0.0129738105461001,0.0152854779735207,-0.00010510202992,0.03,0.03,-0.05
0.59976,66545038,-0.0001420842017978,8.693486597621813e-05,354.5906677246094,-0.0108826113864779,0.0127083584666252,-0.0038097212091088,0.06,0.05,354.59,-0.0122283948585391,0.0144670475274324,-0.000138241899549,0.03,0.03,-0.05
0.69972,66644998,-0.0001420842309016,8.693487325217575e-05,354.588623046875,-0.0105259018018841,0.0123124895617365,-0.0038177606184035,0.06,0.05,354.58,-0.011091417632997,0.0131626753136515,-0.0001407782256137,0.03,0.03,-0.05
0.79968,66744958,-0.0001420842309016,8.693483687238768e-05,354.58697509765625,-0.0101909842342138,0.0119405640289187,-0.0038259699940681,0.07,0.05,354.58,-0.0100200716406106,0.0119323497638106,-0.0001275772810913,0.03,0.03,-0.04
0.89964,66844918,-0.0001420842017978,8.69348514243029e-05,354.5851135253906,-0.0096518546342849,0.0113245910033583,-0.0038328191731125,0.07,0.05,354.58,-0.0087064830586314,0.0104036461561918,-0.0001728128700051,0.03,0.03,-0.04
0.9996,66944878,-0.0001420842309016,8.693485870026052e-05,354.5834045410156,-0.0091284746304154,0.0107341511175036,-0.0038443692028522,0.07,0.06,354.58,-0.0073769497685134,0.0089423870667815,-0.0002044747670879,0.03,0.03,-0.04
1.09956,67044838,-0.000142084158142,8.693484414834529e-05,354.58160400390625,-0.0084407096728682,0.0099499691277742,-0.0038573311176151,0.07,0.06,354.58,-0.0059869061224162,0.0073607205413281,-0.0002315212914254,0.03,0.03,-0.04
1.19952,67144798,-0.000142084158142,8.693483687238768e-05,354.5799865722656,-0.0077880984172225,0.0092092305421829,-0.0038693100214004,0.07,0.06,354.58,-0.0047207809984683,0.0058825560845434,-0.0001995945640373,0.03,0.03,-0.04
1.29948,67244758,-0.000142084172694,8.693482232047245e-05,354.5779724121094,-0.0070368945598602,0.0083421813324093,-0.0038779065944254,0.07,0.06,354.57,-0.003519756020978,0.0044730510562658,-0.0002194607077399,0.03,0.03,-0.04
1.39944,67344718,-0.000142084158142,8.693481504451483e-05,354.57623291015625,-0.0063551310449838,0.0075541357509791,-0.003889090148732,0.07,0.06,354.57,-0.002507445635274,0.0032684071920812,-0.0002128487249137,0.03,0.03,-0.04
1.4994,67444678,-0.000142084158142,8.693481504451483e-05,354.5743713378906,-0.0056315627880394,0.006709202658385,-0.0038959556259214,0.07,0.06,354.57,-0.001541743054986,0.0021159439347684,-0.0002000123786274,0.03,0.03,-0.04
1.59936,67544638,-0.0001420841435901,8.69348004925996e-05,354.5726318359375,-0.0049960711039602,0.0059585655108094,-0.0039005677681416,0.07,0.06,354.57,-0.0007642080308869,0.0010849575046449,-0.0002166500053135,0.03,0.03,-0.04
1.69932,67644598,-0.000142084158142,8.693481504451483e-05,354.5709228515625,-0.0043472745455801,0.005187920294702,-0.0039088800549507,0.08,0.06,354.57,-2.2461967091658156e-05,0.0002253236307296,-0.0002581953594926,0.03,0.03,-0.04
1.79928,67744558,-0.0001420841290382,8.693477866472676e-05,354.56915283203125,-0.0037883596960455,0.0045276009477674,-0.003919088281691,0.08,0.07,354.56,0.0005647366633638,-0.0004503293894231,-0.0002167641650885,0.03,0.03,-0.04
1.89924,67844518,-0.0001420841435901,8.693480776855722e-05,354.5672607421875,-0.003234721487388,0.0038738411385565,-0.0039245323278009,0.08,0.07,354.56,0.0010896031744778,-0.0010783084435388,-0.0002414702030364,0.03,0.03,-0.04
1.9992,67944478,-0.000142084158142,8.693478594068438e-05,354.5652770996094,-0.0027682092040777,0.0033246257808059,-0.0039297263137996,0.08,0.07,354.56,0.0014726994559168,-0.0015281557571142,-0.0001697271945886,0.03,0.03,-0.04
2.099993,68045271,-0.0001420841290382,8.693477138876915e-05,354.5631103515625,-0.0023477938957512,0.0028312928043305,-0.0039297402836382,0.08,0.07,354.56,0.0017684566555544,-0.0018452686490491,-0.0001671200589044,0.03,0.03,-0.04
2.199953,68145231,-0.000142084158142,8.693474956089631e-05,354.5609436035156,-0.0019775051623582,0.0023968196474015,-0.0039295358583331,0.08,0.07,354.56,0.0019653677009046,-0.002089645480737,-0.0001765245106071,0.03,0.03,-0.04
2.299913,68245191,-0.0001420842017978,8.693476411281154e-05,354.5588684082031,-0.0016493063885718,0.0020147101022303,-0.0039261430501937,0.09,0.07,354.55,0.0020987875759601,-0.0022406545467674,-0.0001091773083317,0.03,0.03,-0.04
2.399873,68345151,-0.0001420842017978,8.693474956089631e-05,354.5570678710937,-0.0013655121438205,0.0016826163046061,-0.0039212335832417,0.09,0.08,354.55,0.0021821104455739,-0.0023282435722649,-0.0001116178027587,0.03,0.03,-0.04
2.499833,68445111,-0.0001420841435901,8.693475683685392e-05,354.554931640625,-0.0011211339151486,0.0013974973699077,-0.0039127375930547,0.09,0.08,354.55,0.0021720663644373,-0.0023427528794854,-5.6445333029842e-05,0.03,0.03,-0.04
2.599793,68545071,-0.0001420841290382,8.693474228493869e-05,354.5530090332031,-0.0009173423168249,0.0011576309334486,-0.003901207819581,0.09,0.08,354.55,0.0021335026249289,-0.0023213461972773,-1.5125810932659078e-05,0.03,0.03,-0.04
2.699753,68645031,-0.0001420841290382,8.693473500898108e-05,354.5510559082031,-0.0007435552543029,0.000952934497036,-0.0038932799361646,0.09,0.08,354.55,0.0020330513361841,-0.0022032756824046,-5.295951996231452e-05,0.03,0.03,-0.04
2.799713,68744991,-0.0001420841290382,8.693474956089631e-05,354.5489196777344,-0.0006110880058258,0.0007948024431243,-0.0038904128596186,0.09,0.08,354.54,0.0019039808539673,-0.0020293232519179,-5.755502570536919e-05,0.03,0.03,-0.04
2.899673,68844951,-0.000142084158142,8.693474228493869e-05,354.54693603515625,-0.0005037780501879,0.0006663376116193,-0.0038885134272277,0.09,0.08,354.54,0.0016937144100666,-0.001842399709858,-8.0953846918419e-05,0.03,0.03,-0.04
2.999633,68944911,-0.0001420841872459,8.693474956089631e-05,354.5450134277344,-0.0004279858840163,0.0005768397240899,-0.0038934408221393,0.1,0.09,354.54,0.0015216509345918,-0.0016128368442878,-0.0001704948081169,0.03,0.03,-0.04
3.099593,69044871,-0.0001420842017978,8.693476411281154e-05,354.542724609375,-0.0003736343642231,0.000506225740537,-0.0039014406502246,0.1,0.09,354.54,0.0012252079322934,-0.0013865688815712,-0.0001696765248198,0.03,0.03,-0.04
3.199553,69144831,-0.000142084172694,8.693476411281154e-05,354.54058837890625,-0.0003486213972792,0.0004626978770829,-0.0039081471040844,0.1,0.09,354.54,0.0009956047870218,-0.0011174581013619,-0.0001446888491045,0.03,0.03,-0.04
3.299513,69244791,-0.0001420840999344,8.693477866472676e-05,354.53857421875,-0.0003364470321685,0.0004354360571596,-0.0039121732115745,0.1,0.09,354.53,0.0007382344920188,-0.0008304860675707,-0.0001821856130845,0.03,0.03,-0.04
3.399473,69344751,-0.0001420840562786,8.693475683685392e-05,354.5364685058594,-0.000347081804648,0.0004366420325823,-0.0039191213436424,0.1,0.09,354.53,0.0004361610335763,-0.0005275392904877,-0.0001672914077062,0.03,0.03,-0.04
3.499433,69444711,-0.0001420840708306,8.693477138876915e-05,354.5342102050781,-0.0003666224947664,0.0004522875824477,-0.003920046146959,0.11,0.09,354.53,0.0001524822291685,-0.0001514862960902,-0.0001434068399248,0.03,0.03,-0.04
3.599393,69544671,-0.0001420840562786,8.693477866472676e-05,354.5321655273437,-0.0004078581405337,0.000496536551509,-0.0039196256548166,0.11,0.1,354.53,-0.000180443865247,0.0002418512012809,-0.0001589216408319,0.03,0.03,-0.04
3.699353,69644631,-0.0001420840562786,8.693477866472676e-05,354.5321655273437,-0.0004556103958748,0.0005474803037941,-0.0039186277426779,0.11,0.1,354.52,-0.0004690863424912,0.0005343011580407,-0.0001145856876973,0.03,0.03,-0.04
3.799313,69744591,-0.0001420840562786,8.693477866472676e-05,354.5321655273437,-0.0005226821522228,0.0006193145527504,-0.0039143590256571,0.11,0.1,354.52,-0.0007879806798882,0.0009449500939808,-0.0001072123995982,0.03,0.03,-0.04
3.899273,69844551,-0.0001420840562786,8.693477866472676e-05,354.5321655273437,-0.0005833110772073,0.0006886472692713,-0.0039105270989239,0.11,0.1,354.52,-0.0010693436488509,0.0012892060913145,-0.0001083093593479,0.03,0.03,-0.04
3.999233,69944511,-0.0001420840562786,8.693477866472676e-05,354.5321655273437,-0.0006788200116716,0.0008029652526602,-0.0039071808569133,0.11,0.1,354.52,-0.0014344709925353,0.0017528058961033,-7.517763879150152e-05,0.03,0.03,-0.04
4.099193,70044471,-0.0001420840562786,8.693477866472676e-05,354.5321655273437,-0.0007544105756096,0.0008939772378653,-0.003904543351382,0.12,0.11,354.52,-0.0017922818660736,0.0021443006116896,-7.195960643002763e-05,0.03,0.03,-0.03
4.199986,70145264,-0.0001420840562786,8.693477866472676e-05,354.5321655273437,-0.0008774041198194,0.0010389642557129,-0.003902286523953,0.12,0.11,354.51,-0.0021247265394777,0.0025623701512813,-6.1676291807089e-05,0.03,0.03,-0.03
4.299946,70245224,-0.0001420840562786,8.693477866472676e-05,354.5321655273437,-0.0009632656001485,0.0011495867511257,-0.0039032723288983,0.12,0.11,354.51,-0.0024273649323731,0.002972409594804,-0.0001297916169278,0.03,0.03,-0.03
4.399906,70345184,-0.0018683276139199,-0.0016503942897543,354.5321655273437,-0.0011003871913999,0.0013176123611629,-0.005236399360001,0.12,0.11,354.51,-0.0029041492380201,0.0034904514905065,-0.0408515557646751,0.03,0.03,-0.03
4.499866,70445144,-0.0167301204055547,-0.0168003793805837,354.5321655273437,-0.0012215181486681,0.0014600668800994,-0.0128992116078734,0.12,0.11,354.51,-0.003410558681935,0.0040099113248288,-0.0974669829010963,0.03,0.03,-0.03
4.599826,70545104,-0.0327881760895252,-0.0335499718785285,354.5321655273437,-0.0014067355077713,0.001676797051914,-0.0264582689851522,0.13,0.11,354.5,-0.003881627228111,0.0046336385421454,-0.1535087525844574,0.03,0.03,-0.03
4.699786,70645064,-0.0459583736956119,-0.0467907227575778,354.5321655273437,-0.0015602557687088,0.0018609821563586,-0.0449715107679367,0.13,0.12,354.5,-0.0043278574012219,0.0051809130236506,-0.2062589079141616,0.03,0.03,-0.03
4.799746,70745024,-0.055771742016077,-0.0565072000026702,354.5321960449219,-0.0017704212805256,0.0021180745679885,-0.0684112980961799,0.13,0.12,354.5,-0.0047613102942705,0.005801289808005,-0.2602938115596771,0.03,0.03,-0.03
4.899706,70844984,-0.065794751048088,-0.0659468099474906,354.5321960449219,-0.0019359957659617,0.0023266712669283,-0.0972676873207092,0.13,0.12,354.5,-0.0052008419297635,0.0063372789882123,-0.3181953430175781,0.03,0.03,-0.03
4.999666,70944944,-0.075180135667324,-0.0749805495142936,354.5321960449219,-0.0021692842710763,0.0026163761503994,-0.1323048919439315,0.12,0.11,354.49,-0.0057702278718352,0.0070211687125265,-0.4089652299880981,0.03,0.03,-0.03
5.099626,71044904,-0.0862217172980308,-0.0855551213026046,354.5322265625,-0.0023499487433582,0.0028492920100688,-0.1991883516311645,0.01,0.01,354.49,-0.0058558015152812,0.0072604548186063,-0.8939098119735718,0.03,0.03,-0.03
5.199586,71144864,-0.0935156643390655,-0.0919303745031356,354.5322265625,-0.0025033638812601,0.0030532954260706,-0.3095182776451111,-0.07,-0.07,354.49,-0.0047372826375067,0.0058946637436747,-1.1982898712158203,0.03,0.03,-0.03
5.299546,71244824,-0.0859097987413406,-0.0841323882341384,354.5322265625,-0.0023543720599263,0.0028861362952739,-0.4298271834850311,-0.11,-0.11,354.49,-0.0024987203069031,0.0029631115030497,-1.243579626083374,0.03,0.03,-0.03
5.399506,71344784,-0.0573308430612087,-0.0567159987986087,354.5321960449219,-0.0019614230841398,0.0023922987747937,-0.5463352203369141,-0.11,-0.11,354.5,0.0005277908057905,-0.0010769288055598,-1.1852328777313232,0.03,0.03,-0.03
5.499466,71444744,-0.0120204100385308,-0.0147056896239519,354.5321655273437,-0.0011375041212886,0.0013361861929297,-0.6594479084014893,-0.08,-0.08,354.5,0.0038146097213029,-0.0053179520182311,-1.1512441635131836,0.03,0.03,-0.03
5.599426,71544704,0.0443617291748523,0.0376225300133228,354.5321655273437,-5.785430039395578e-05,-6.280789239099249e-05,-0.774430513381958,-0.03,-0.03,354.5,0.0064066895283758,-0.0087196053937077,-1.1826255321502686,0.03,0.03,-0.03
5.699386,71644664,0.0999033525586128,0.0891211181879043,354.5322265625,0.0012685133842751,-0.0017876755446195,-0.8977183103561401,0.02,0.01,354.5,0.0079870242625474,-0.0107958205044269,-1.2636961936950684,0.03,0.03,-0.03
5.799346,71744624,0.1482064723968505,0.133805975317955,354.5323181152344,0.0026333208661526,-0.0035719864536076,-1.0316632986068726,0.07,0.06,354.5,0.0086374608799815,-0.0115257520228624,-1.365415096282959,0.03,0.03,-0.03
5.899306,71844584,0.1850258857011795,0.1681540012359619,354.5324401855469,0.0040210061706602,-0.0056184488348662,-1.1763383150100708,0.12,0.1,354.5,0.0083887604996562,-0.0112405559048056,-1.4692074060440063,0.03,0.03,-0.03
5.999266,71944544,0.2137212455272674,0.1929265707731247,354.53253173828125,0.005278006196022,-0.0075650848448276,-1.3315033912658691,0.15,0.13,354.5,0.0074644386768341,-0.0101634236052632,-1.570056438446045,0.03,0.03,-0.03
6.099226,72044504,0.2339062243700027,0.2085080593824386,354.5325927734375,0.0066959904506802,-0.0095103485509753,-1.496508002281189,0.18,0.16,354.5,0.0063590151257812,-0.0085604414343833,-1.669653058052063,0.03,0.03,-0.03
6.200019,72145297,0.2484419047832489,0.2213120907545089,354.5326538085937,0.0079947458580136,-0.0111963171511888,-1.6730157136917114,0.2,0.17,354.5,0.0049640526995062,-0.0064902896992862,-1.7715253829956057,0.03,0.03,-0.03
6.299979,72245257,0.2567242980003357,0.2303430438041687,354.5326843261719,0.0092734498903155,-0.0129318628460168,-1.8582607507705688,0.21,0.18,354.5,0.0034316256642341,-0.0043766153976321,-1.8746920824050903,0.03,0.03,-0.03
6.399939,72345217,0.2629235386848449,0.2365759164094925,354.53271484375,0.010316570289433,-0.0143902264535427,-2.0523769855499268,0.21,0.19,354.5,0.0015478966524824,-0.0020806700922548,-1.9786217212677,0.03,0.03,-0.03
6.499899,72445177,0.2660295963287353,0.2385207116603851,354.53271484375,0.0112526230514049,-0.015765493735671,-2.258585214614868,0.22,0.2,354.5,-0.0002909969480242,0.000237350250245,-2.0840721130371094,0.03,0.03,-0.03
6.599859,72545137,0.2670490145683288,0.2380650639533996,354.53271484375,0.0119149526581168,-0.0167874991893768,-2.4755163192749023,0.22,0.2,354.5,-0.0021577798761427,0.0027123296167701,-2.189497470855713,0.03,0.03,-0.03
6.699819,72645097,0.2627012133598327,0.2315388172864914,354.5326843261719,0.0124765168875455,-0.0178721994161605,-2.7028610706329346,0.23,0.2,354.5,-0.0039915023371577,0.0050838054157793,-2.2936434745788574,0.03,0.03,-0.03
6.799779,72745057,0.2568615674972534,0.2232280522584915,352.65185546875,0.0127722369506955,-0.0186353679746389,-2.9421403408050537,0.23,0.2,352.62,-0.0057525564916431,0.0074907750822603,-2.384831428527832,0.03,0.03,-0.03
6.899739,72845017,0.2464185655117035,0.2148118317127227,352.6518249511719,0.0131808230653405,-0.0194503683596849,-3.186488389968872,0.22,0.19,352.62,-0.0070075690746307,0.0094407154247164,-2.449314832687378,0.03,0.03,-0.03
