timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1778788392.76001596,65945278,0,0.06,0.05,354.59,-0.01457675825804472,0.01698397658765316,-0.000141324067953974,-0.00014530506450682878,-0.011371883563697338,0.013224733993411064,-0.003762295003980398,0.03,0.03,-0.05,584.09
1778788392.76001596,65945278,1,0.06,0.05,354.6,-0.014393885619938374,0.017338089644908905,-0.0002813018800225109,8.592770427640062e-06,-0.011192253790795803,0.013402177952229977,0.005770577117800713,0.03,0.03,-0.05,584.08
1778788392.85997605,66045238,0,0.06,0.05,354.59,-0.014455009251832962,0.01683482713997364,-0.00015143470955081284,-0.00013912977010477334,-0.011257684789597988,0.01309696864336729,-0.0037758059334009886,0.03,0.03,-0.05,584.09
1778788392.85997605,66045238,1,0.06,0.05,354.6,-0.014472723007202148,0.01722170040011406,-0.0002510152698960155,1.60431518452242e-05,-0.011125609278678894,0.013316704891622066,0.005773844197392464,0.03,0.03,-0.05,584.08
1778788392.95993614,66145198,0,0.06,0.05,354.59,-0.014415863901376724,0.016783906146883965,-0.0001087434939108789,-8.529933984391391e-05,-0.011299642734229565,0.013150233775377274,-0.003786462591961026,0.03,0.03,-0.05,584.09
1778788392.95993614,66145198,1,0.06,0.05,354.6,-0.014490516856312752,0.017157062888145447,-0.00023564464936498553,-7.80465234129224e-06,-0.011218690313398838,0.013402185402810574,0.005772458855062723,0.03,0.03,-0.05,584.08
1778788393.05989599,66245158,0,0.06,0.05,354.59,-0.01404037605971098,0.0164203941822052,-0.00010983676475007087,-6.979910540394485e-05,-0.011187841184437275,0.01302692573517561,-0.003793091746047139,0.03,0.03,-0.05,584.09
1778788393.05989599,66245158,1,0.06,0.05,354.6,-0.014248192310333252,0.016834041103720665,-0.0002812970196828246,-8.4160034020897e-05,-0.011140292510390282,0.01328514888882637,0.005765595939010382,0.03,0.03,-0.05,584.08
1778788393.15985608,66345118,0,0.06,0.05,354.59,-0.013753803446888924,0.01606176793575287,-0.00010238207323709503,-4.7797842853469774e-05,-0.011196734383702278,0.013045097701251507,-0.0037980887573212385,0.03,0.03,-0.05,584.09
1778788393.15985608,66345118,1,0.06,0.05,354.6,-0.013799941167235374,0.016365451738238335,-0.00034681137185543776,-0.00016764894826337695,-0.011170553043484688,0.01329784095287323,0.005752879660576582,0.03,0.03,-0.05,584.08
1778788393.25981593,66445078,0,0.06,0.05,354.59,-0.01297381054610014,0.015285477973520756,-0.00010510202992008999,-4.867683310294524e-05,-0.011002102866768837,0.012830504216253757,-0.003802178194746375,0.03,0.03,-0.05,584.09
1778788393.25981593,66445078,1,0.06,0.05,354.59,-0.013042228296399117,0.015472602099180222,-0.00025182802346535027,-7.412222475977615e-05,-0.01097977813333273,0.013064798898994923,0.005739901680499315,0.03,0.03,-0.05,584.08
1778788393.35977602,66545038,0,0.06,0.05,354.59,-0.012228394858539104,0.014467047527432442,-0.00013824189954902977,-8.213452383643016e-05,-0.010882611386477947,0.012708358466625214,-0.0038097212091088295,0.03,0.03,-0.05,584.09
1778788393.35977602,66545038,1,0.06,0.05,354.59,-0.012134047225117683,0.014509511180222034,-0.00022527406690642238,-4.01274228352122e-05,-0.010843100026249886,0.012905561365187168,0.005733587313443422,0.03,0.03,-0.04,584.08
1778788393.45973611,66644998,0,0.06,0.05,354.58,-0.011091417632997036,0.013162675313651562,-0.00014077822561375797,-8.308743417728692e-05,-0.010525901801884174,0.012312489561736584,-0.003817760618403554,0.03,0.03,-0.05,584.09
1778788393.45973611,66644998,1,0.06,0.05,354.59,-0.010975352488458157,0.01326547097414732,-0.00025728094624355435,-7.379375165328383e-05,-0.010464203543961048,0.012475820258259773,0.0057280887849628925,0.03,0.03,-0.04,584.08
1778788393.55969596,66744958,0,0.07,0.05,354.58,-0.010020071640610695,0.011932349763810635,-0.00012757728109136224,-6.649037095485255e-05,-0.010190984234213829,0.011940564028918743,-0.0038259699940681458,0.03,0.03,-0.04,584.09
