PHASE 6 REPRESENTATIVE TIME-SERIES FIGURE LOG
==============================================
Recovered CSV directory: /home/tchowdh4/sensor_recovery_project/recovery_v9_corrected_official/recovered_csvs

Recovered CSVs found: 39
MADE representative_recovery_01_baseline_01_hover_Pitch_bias_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_01_hover_Pitch_bias_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Pitch, attacked_col=AttackedFuture_Pitch, recovered_col=Pitch_RecoverySource_Phase5
MADE representative_recovery_02_baseline_01_hover_Pitch_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_01_hover_Pitch_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Pitch, attacked_col=AttackedFuture_Pitch, recovered_col=Pitch_RecoverySource_Phase5
MADE representative_recovery_03_baseline_01_hover_Pitch_ramp_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_01_hover_Pitch_ramp_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Pitch, attacked_col=AttackedFuture_Pitch, recovered_col=Pitch_RecoverySource_Phase5
MADE representative_recovery_04_baseline_01_hover_Roll_bias_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_01_hover_Roll_bias_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Roll, attacked_col=AttackedFuture_Roll, recovered_col=Roll_RecoverySource_Phase5
MADE representative_recovery_05_baseline_01_hover_Roll_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_01_hover_Roll_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Roll, attacked_col=AttackedFuture_Roll, recovered_col=Roll_RecoverySource_Phase5
MADE representative_recovery_06_baseline_01_hover_Roll_ramp_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_01_hover_Roll_ramp_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Roll, attacked_col=AttackedFuture_Roll, recovered_col=Roll_RecoverySource_Phase5
MADE representative_recovery_07_baseline_01_hover_Yaw_bias_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_01_hover_Yaw_bias_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Yaw, attacked_col=AttackedFuture_Yaw, recovered_col=Yaw_RecoverySource_Phase5
MADE representative_recovery_08_baseline_01_hover_Yaw_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_01_hover_Yaw_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Yaw, attacked_col=AttackedFuture_Yaw, recovered_col=Yaw_RecoverySource_Phase5
MADE representative_recovery_09_baseline_01_hover_Yaw_ramp_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_01_hover_Yaw_ramp_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Yaw, attacked_col=AttackedFuture_Yaw, recovered_col=Yaw_RecoverySource_Phase5
MADE representative_recovery_10_baseline_02_high_altitude_hover_Pitch_bias_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_02_high_altitude_hover_Pitch_bias_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Pitch, attacked_col=AttackedFuture_Pitch, recovered_col=Pitch_RecoverySource_Phase5
MADE representative_recovery_11_baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Pitch, attacked_col=AttackedFuture_Pitch, recovered_col=Pitch_RecoverySource_Phase5
MADE representative_recovery_12_baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED: file=baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection_OFFICIAL_PHASE5_RECOVERED.csv, time_col=sample_index, clean_col=CleanFuture_Pitch, attacked_col=AttackedFuture_Pitch, recovered_col=Pitch_RecoverySource_Phase5

Representative plots made: 12
