path,file,n_columns,columns,true,pred,attacked,recovered,residual,detected,threshold,rmse,mae,improvement
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_bias_Pitch.csv,baseline_01_hover__baseline_01_hover_ATT__attack_bias_Pitch.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_bias_Roll.csv,baseline_01_hover__baseline_01_hover_ATT__attack_bias_Roll.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_bias_Yaw.csv,baseline_01_hover__baseline_01_hover_ATT__attack_bias_Yaw.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Pitch.csv,baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Pitch.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Roll.csv,baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Roll.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch.csv,baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Roll.csv,baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Roll.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Yaw.csv,baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Yaw.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_bias_Pitch.csv,baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_bias_Pitch.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_bias_Roll.csv,baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_bias_Roll.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_bias_Yaw.csv,baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_bias_Yaw.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_pulse_Pitch.csv,baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_pulse_Pitch.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_pulse_Roll.csv,baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_pulse_Roll.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_pulse_Yaw.csv,baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_pulse_Yaw.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_ramp_Pitch.csv,baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_ramp_Pitch.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_ramp_Roll.csv,baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_ramp_Roll.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_ramp_Yaw.csv,baseline_02_high_altitude_hover__baseline_02_high_altitude_hover_ATT__attack_ramp_Yaw.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_bias_Pitch.csv,baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_bias_Pitch.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_bias_Roll.csv,baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_bias_Roll.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_bias_Yaw.csv,baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_bias_Yaw.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_pulse_Pitch.csv,baseline_03_forward_motion__baseline_03_forward_motion_ATT__attack_pulse_Pitch.csv,21,timestamp | TimeUS | DesRoll | Roll | DesPitch | Pitch | DesYaw | Yaw | AEKF | True_Roll | Attacked_Roll | True_Pitch | Attacked_Pitch | True_Yaw | Attacked_Yaw | AttackActive | AttackAxis | AttackType | AttackMagnitude | SourceCleanFile | Phase4TimeColumn,1,0,1,0,0,0,0,0,0,0
