input_detection_file,prediction_file,xkf1_file,output_csv,target,baseline,n_rows,detected_count,attack_active_count,clean_col,attacked_col,original_v9_col,adaptive_prediction_col,original_recovered_col,adaptive_recovered_col,comparison_plot,error_plot,weight_plot,context_plot,attacked_rmse,attacked_mae,attacked_max_abs_error,original_v9_recovered_rmse,original_v9_recovered_mae,original_v9_recovered_max_abs_error,adaptive_v9_recovered_rmse,adaptive_v9_recovered_mae,adaptive_v9_recovered_max_abs_error,original_improvement_over_attacked_rmse_percent,adaptive_improvement_over_attacked_rmse_percent,adaptive_improvement_over_original_rmse_percent,adaptive_better_than_original_rmse
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Pitch_bias_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,/home/tchowdh4/sensor_recovery_project/recovery_results_v9_adaptive_weights/baseline_01_hover_Pitch_bias_W10_N3_mean1x_detection_PHASE5B_ADAPTIVE_WEIGHTS.csv,Pitch,baseline_01_hover,250,75,75,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,AdaptiveV9PredictedFuture_Pitch_Phase5B,OriginalV9RecoveredFuture_Pitch_Phase5B,AdaptiveV9RecoveredFuture_Pitch_Phase5B,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_bias_W10_N3_mean1x_detection_phase5b_recovery_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_bias_W10_N3_mean1x_detection_phase5b_error_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_bias_W10_N3_mean1x_detection_phase5b_weight_trace_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_bias_W10_N3_mean1x_detection_phase5b_context_Pitch.png,0.0200707453972193,0.010993199999999995,0.03664400000000001,0.0014356673267818798,0.0005141969798501485,0.009530812894106497,0.0002575614824967819,9.105104717998407e-05,0.0018276116690180144,92.84696557916187,98.71673185325511,82.05980747126712,True
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Pitch_pulse_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,/home/tchowdh4/sensor_recovery_project/recovery_results_v9_adaptive_weights/baseline_01_hover_Pitch_pulse_W10_N3_mean1x_detection_PHASE5B_ADAPTIVE_WEIGHTS.csv,Pitch,baseline_01_hover,250,13,12,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,AdaptiveV9PredictedFuture_Pitch_Phase5B,OriginalV9RecoveredFuture_Pitch_Phase5B,AdaptiveV9RecoveredFuture_Pitch_Phase5B,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_pulse_W10_N3_mean1x_detection_phase5b_recovery_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_pulse_W10_N3_mean1x_detection_phase5b_error_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_pulse_W10_N3_mean1x_detection_phase5b_weight_trace_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_pulse_W10_N3_mean1x_detection_phase5b_context_Pitch.png,0.016056596317775448,0.003517824,0.07328800000000002,0.0006733761704464996,0.00010330085519577442,0.009530812894106497,0.0001077698259080156,1.8235176898921568e-05,0.001441517303356843,95.80623341884083,99.32881275847541,83.99559850231172,True
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Pitch_ramp_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,/home/tchowdh4/sensor_recovery_project/recovery_results_v9_adaptive_weights/baseline_01_hover_Pitch_ramp_W10_N3_mean1x_detection_PHASE5B_ADAPTIVE_WEIGHTS.csv,Pitch,baseline_01_hover,250,61,75,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,AdaptiveV9PredictedFuture_Pitch_Phase5B,OriginalV9RecoveredFuture_Pitch_Phase5B,AdaptiveV9RecoveredFuture_Pitch_Phase5B,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_ramp_W10_N3_mean1x_detection_phase5b_recovery_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_ramp_W10_N3_mean1x_detection_phase5b_error_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_ramp_W10_N3_mean1x_detection_phase5b_weight_trace_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Pitch_ramp_W10_N3_mean1x_detection_phase5b_context_Pitch.png,0.01744039874179981,0.008244899999999987,0.05496599999999999,0.0015443912534712208,0.0005659713756757524,0.009656189189189104,0.0013501500668773325,0.0003176477517607056,0.009656189189189104,91.14474802821024,92.25849083575483,12.577200638588563,True
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_bias_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,/home/tchowdh4/sensor_recovery_project/recovery_results_v9_adaptive_weights/baseline_01_hover_Roll_bias_W10_N3_mean1x_detection_PHASE5B_ADAPTIVE_WEIGHTS.csv,Roll,baseline_01_hover,250,75,75,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,AdaptiveV9PredictedFuture_Roll_Phase5B,OriginalV9RecoveredFuture_Roll_Phase5B,AdaptiveV9RecoveredFuture_Roll_Phase5B,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_bias_W10_N3_mean1x_detection_phase5b_recovery_comparison_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_bias_W10_N3_mean1x_detection_phase5b_error_comparison_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_bias_W10_N3_mean1x_detection_phase5b_weight_trace_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_bias_W10_N3_mean1x_detection_phase5b_context_Roll.png,0.015040461429091852,0.008237999999999995,0.02746,0.0015524010673865433,0.0005763834636544285,0.0074577710144213966,0.00028984242620117007,0.00010880306487654424,0.0013791266239500805,89.6785010572626,98.07291533196883,81.3294107888551,True
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_pulse_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,/home/tchowdh4/sensor_recovery_project/recovery_results_v9_adaptive_weights/baseline_01_hover_Roll_pulse_W10_N3_mean1x_detection_PHASE5B_ADAPTIVE_WEIGHTS.csv,Roll,baseline_01_hover,250,14,12,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,AdaptiveV9PredictedFuture_Roll_Phase5B,OriginalV9RecoveredFuture_Roll_Phase5B,AdaptiveV9RecoveredFuture_Roll_Phase5B,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_pulse_W10_N3_mean1x_detection_phase5b_recovery_comparison_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_pulse_W10_N3_mean1x_detection_phase5b_error_comparison_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_pulse_W10_N3_mean1x_detection_phase5b_weight_trace_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_pulse_W10_N3_mean1x_detection_phase5b_context_Roll.png,0.012032369143273484,0.0026361599999999985,0.05492000000000001,0.0006953655265872293,0.0001068077854221583,0.0074577710144213966,0.0001295004464847424,2.0898312996833925e-05,0.0013791266239500805,94.22087605269357,98.92373276665022,81.37663695807369,True
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_01_hover_Roll_ramp_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_XKF1.csv,/home/tchowdh4/sensor_recovery_project/recovery_results_v9_adaptive_weights/baseline_01_hover_Roll_ramp_W10_N3_mean1x_detection_PHASE5B_ADAPTIVE_WEIGHTS.csv,Roll,baseline_01_hover,250,68,75,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,AdaptiveV9PredictedFuture_Roll_Phase5B,OriginalV9RecoveredFuture_Roll_Phase5B,AdaptiveV9RecoveredFuture_Roll_Phase5B,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_ramp_W10_N3_mean1x_detection_phase5b_recovery_comparison_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_ramp_W10_N3_mean1x_detection_phase5b_error_comparison_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_ramp_W10_N3_mean1x_detection_phase5b_weight_trace_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_01_hover_Roll_ramp_W10_N3_mean1x_detection_phase5b_context_Roll.png,0.01306935240284419,0.006178499999999987,0.041190000000000004,0.001544352337499809,0.0005662683131743809,0.0074577710144213966,0.0004345539230815054,0.00014157837145644826,0.003339729729729707,88.18340580391937,96.67501564203795,71.86173695408033,True
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Pitch_bias_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,/home/tchowdh4/sensor_recovery_project/recovery_results_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_bias_W10_N3_mean1x_detection_PHASE5B_ADAPTIVE_WEIGHTS.csv,Pitch,baseline_02_high_altitude_hover,282,85,85,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,AdaptiveV9PredictedFuture_Pitch_Phase5B,OriginalV9RecoveredFuture_Pitch_Phase5B,AdaptiveV9RecoveredFuture_Pitch_Phase5B,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_bias_W10_N3_mean1x_detection_phase5b_recovery_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_bias_W10_N3_mean1x_detection_phase5b_error_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_bias_W10_N3_mean1x_detection_phase5b_weight_trace_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_bias_W10_N3_mean1x_detection_phase5b_context_Pitch.png,0.017452116886778713,0.009581489361702118,0.03178800000000001,0.001774620902048185,0.0006590385705480905,0.012500210629287509,0.0003235101541578965,0.00012459155626987648,0.0020887452738786866,89.83148626862229,98.14629849056891,81.77018236489178,True
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,/home/tchowdh4/sensor_recovery_project/recovery_results_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection_PHASE5B_ADAPTIVE_WEIGHTS.csv,Pitch,baseline_02_high_altitude_hover,282,14,14,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,AdaptiveV9PredictedFuture_Pitch_Phase5B,OriginalV9RecoveredFuture_Pitch_Phase5B,AdaptiveV9RecoveredFuture_Pitch_Phase5B,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection_phase5b_recovery_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection_phase5b_error_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection_phase5b_weight_trace_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection_phase5b_context_Pitch.png,0.014165524634485395,0.0031562553191489344,0.063576,0.0014736741091008819,0.0002679347588538679,0.012500210629287509,0.0002471359278600379,4.473940521345455e-05,0.0020887452738786866,89.5967558764941,98.25537045582911,83.22994708709238,True
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,/home/tchowdh4/sensor_recovery_project/recovery_results_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection_PHASE5B_ADAPTIVE_WEIGHTS.csv,Pitch,baseline_02_high_altitude_hover,282,70,85,CleanFuture_Pitch,AttackedFuture_Pitch,V9PredictedFuture_Pitch,AdaptiveV9PredictedFuture_Pitch_Phase5B,OriginalV9RecoveredFuture_Pitch_Phase5B,AdaptiveV9RecoveredFuture_Pitch_Phase5B,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection_phase5b_recovery_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection_phase5b_error_comparison_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection_phase5b_weight_trace_Pitch.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection_phase5b_context_Pitch.png,0.015158891907774127,0.0071861170212765835,0.04768199999999999,0.002020487609923189,0.000784542842997755,0.012500210629287509,0.001117865784736129,0.00031472375735284926,0.007946999999999899,86.67127107828378,92.62567612766709,44.673464996965464,True
/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/detection_csvs/baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_XKF1.csv,/home/tchowdh4/sensor_recovery_project/recovery_results_v9_adaptive_weights/baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection_PHASE5B_ADAPTIVE_WEIGHTS.csv,Roll,baseline_02_high_altitude_hover,282,85,85,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,AdaptiveV9PredictedFuture_Roll_Phase5B,OriginalV9RecoveredFuture_Roll_Phase5B,AdaptiveV9RecoveredFuture_Roll_Phase5B,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection_phase5b_recovery_comparison_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection_phase5b_error_comparison_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection_phase5b_weight_trace_Roll.png,/home/tchowdh4/sensor_recovery_project/figures/recovery_v9_adaptive_weights/baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection_phase5b_context_Roll.png,0.015067191891303485,0.008272127659574465,0.02744400000000001,0.0012273233818049592,0.00043810462158640716,0.008325416932332505,0.0002161614395364379,8.464717781010012e-05,0.0012790360649163612,91.85433230917204,98.56535019202083,82.38757260384457,True
