file_name,baseline,target,attack_type,evaluated_runs,success_count_rmse,success_count_mae,mean_original_rmse,mean_heuristic_rmse,mean_heuristic_improvement_over_original_rmse_percent,fail_count_rmse,fail_count_mae,success_rate_rmse_percent,success_rate_mae_percent
baseline_03_forward_motion_Pitch_ramp_W10_N3_mean1x_detection.csv,baseline_03_forward_motion,Pitch,ramp,100,42,44,0.00457160742494274,0.005609895822124705,-22.711670112290314,58,56,42.0,44.0
baseline_03_forward_motion_Pitch_pulse_W10_N3_mean1x_detection.csv,baseline_03_forward_motion,Pitch,pulse,100,43,43,0.0029985950530870115,0.0038777858596279295,-29.320091275272517,57,57,43.0,43.0
baseline_03_forward_motion_Pitch_bias_W10_N3_mean1x_detection.csv,baseline_03_forward_motion,Pitch,bias,100,43,45,0.0036948157169747185,0.00471618072609809,-27.643192174132473,57,55,43.0,45.0
baseline_05_mixed_maneuver_Pitch_ramp_W10_N3_mean1x_detection.csv,baseline_05_mixed_maneuver,Pitch,ramp,100,66,67,0.001944801028488975,0.002030158903543209,-4.389028687451542,34,33,66.0,67.0
baseline_05_mixed_maneuver_Pitch_bias_W10_N3_mean1x_detection.csv,baseline_05_mixed_maneuver,Pitch,bias,100,67,70,0.0012895936237607036,0.0013099767951216764,-1.5805887207732559,33,30,67.0,70.0
baseline_03_forward_motion_Roll_pulse_W10_N3_mean1x_detection.csv,baseline_03_forward_motion,Roll,pulse,100,70,70,0.0004133984412176448,0.0003898133685112224,5.705167304684012,30,30,70.0,70.0
baseline_05_mixed_maneuver_Pitch_pulse_W10_N3_mean1x_detection.csv,baseline_05_mixed_maneuver,Pitch,pulse,100,72,72,0.00043479887968866677,0.000403354716253838,7.231886949051954,28,28,72.0,72.0
baseline_05_mixed_maneuver_Roll_ramp_W10_N3_mean1x_detection.csv,baseline_05_mixed_maneuver,Roll,ramp,100,77,74,0.0018468273376346278,0.0016211402740800066,12.220257896099579,23,26,77.0,74.0
baseline_03_forward_motion_Roll_ramp_W10_N3_mean1x_detection.csv,baseline_03_forward_motion,Roll,ramp,100,79,80,0.0013627982075137528,0.001330042985801583,2.403526914812085,21,20,79.0,80.0
baseline_05_mixed_maneuver_Roll_bias_W10_N3_mean1x_detection.csv,baseline_05_mixed_maneuver,Roll,bias,100,79,77,0.0013818475752912043,0.0009460940691557564,31.534122426174193,21,23,79.0,77.0
baseline_05_mixed_maneuver_Roll_pulse_W10_N3_mean1x_detection.csv,baseline_05_mixed_maneuver,Roll,pulse,100,81,73,0.0007121541982238118,0.0004460759330079074,37.362451261192014,19,27,81.0,73.0
baseline_03_forward_motion_Roll_bias_W10_N3_mean1x_detection.csv,baseline_03_forward_motion,Roll,bias,100,82,82,0.0010668675887624715,0.0009046406781238176,15.205908619534634,18,18,82.0,82.0
baseline_02_high_altitude_hover_Roll_ramp_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover,Roll,ramp,100,93,93,0.0016294379727964776,0.0012338021877678145,24.28050601703261,7,7,93.0,93.0
baseline_02_high_altitude_hover_Pitch_ramp_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover,Pitch,ramp,100,93,93,0.002020487609923189,0.001306996967498444,35.312794739279255,7,7,93.0,93.0
baseline_02_high_altitude_hover_Pitch_bias_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover,Pitch,bias,100,93,93,0.001774620902048185,0.0006985996923264989,60.63386318056957,7,7,93.0,93.0
baseline_02_high_altitude_hover_Roll_bias_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover,Roll,bias,100,93,95,0.0012273233818049592,0.000460993159832792,62.43914467311509,7,5,93.0,95.0
baseline_02_high_altitude_hover_Pitch_pulse_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover,Pitch,pulse,100,93,93,0.0014736741091008817,0.000544206734279148,63.07143275990786,7,7,93.0,93.0
baseline_02_high_altitude_hover_Roll_pulse_W10_N3_mean1x_detection.csv,baseline_02_high_altitude_hover,Roll,pulse,100,94,94,0.0010241944126034872,0.0003483867278736104,65.98431668963939,6,6,94.0,94.0
baseline_01_hover_Pitch_ramp_W10_N3_mean1x_detection.csv,baseline_01_hover,Pitch,ramp,100,95,95,0.001544391253471221,0.0013751305100592325,10.959706164584428,5,5,95.0,95.0
baseline_01_hover_Roll_ramp_W10_N3_mean1x_detection.csv,baseline_01_hover,Roll,ramp,100,95,95,0.001544352337499809,0.0006456374163975155,58.19364527639112,5,5,95.0,95.0
baseline_01_hover_Roll_pulse_W10_N3_mean1x_detection.csv,baseline_01_hover,Roll,pulse,100,95,95,0.0006953655265872292,0.0002486307133965519,64.24460173963445,5,5,95.0,95.0
baseline_01_hover_Roll_bias_W10_N3_mean1x_detection.csv,baseline_01_hover,Roll,bias,100,95,95,0.0015524010673865433,0.0005548980173925517,64.25549884948748,5,5,95.0,95.0
baseline_01_hover_Pitch_bias_W10_N3_mean1x_detection.csv,baseline_01_hover,Pitch,bias,100,95,95,0.0014356673267818798,0.0004893801410460947,65.91270610420139,5,5,95.0,95.0
baseline_01_hover_Pitch_pulse_W10_N3_mean1x_detection.csv,baseline_01_hover,Pitch,pulse,100,95,95,0.0006733761704464996,0.00020688584516185418,69.27633405490528,5,5,95.0,95.0
