baseline_file,target,mae,rmse,p95_abs,p99_abs,p995_abs,recommended_threshold,recommended_threshold_method
baseline_01_hover,Roll,0.0018291210668793,0.0024538401497541,0.0056056466232107,0.006864536559184,0.0069340685262635,0.006864536559184,p99_abs
baseline_01_hover,Pitch,0.0018681925098924,0.0025702796417045,0.0058140597242524,0.0091609409111704,0.0093174238537551,0.0091609409111704,p99_abs
baseline_01_hover,Yaw,0.0010422485351509,0.0026979745420851,0.0044197082519644,0.0135963287353854,0.0183853149414289,0.0135963287353854,p99_abs
baseline_02_high_altitude_hover,Roll,0.0013847311047823,0.002139736198306,0.0049629590774171,0.0068612023504666,0.0081368938624944,0.0068612023504666,p99_abs
baseline_02_high_altitude_hover,Pitch,0.0018870102472247,0.0024286061306104,0.0045585498283528,0.0079471063450623,0.0100830810291971,0.0079471063450623,p99_abs
baseline_02_high_altitude_hover,Yaw,0.0010384201157996,0.0022740797687635,0.0037747955322458,0.0107730560303059,0.0148414916992094,0.0107730560303059,p99_abs
baseline_03_forward_motion,Roll,0.0020531024173064,0.0024111201909566,0.0047490689859732,0.0068214746450332,0.006984996748974,0.0068214746450332,p99_abs
baseline_03_forward_motion,Pitch,0.0040165681570861,0.0049351061474325,0.0080945606370362,0.016189851898088,0.01668584445902,0.016189851898088,p99_abs
baseline_03_forward_motion,Yaw,0.0006188077548685,0.0009198849529807,0.0020652770995638,0.0030502014160299,0.0031575164795134,0.0030502014160299,p99_abs
baseline_04_yaw_rotation,Yaw,0.0010125447094882,0.0013567482982458,0.003019714355446,0.0037968139648285,0.0038593444824209,0.0037968139648285,p99_abs
baseline_05_mixed_maneuver,Roll,0.0019753635320148,0.0031526252768767,0.0073263786733151,0.0103070020340382,0.0107569809220731,0.0103070020340382,p99_abs
baseline_05_mixed_maneuver,Pitch,0.0018444373438318,0.0028855827028484,0.0063433237373828,0.0096966782957316,0.0108610296249388,0.0096966782957316,p99_abs
baseline_05_mixed_maneuver,Yaw,0.0013235000194493,0.0017301880147787,0.0037078857421875,0.004794921875,0.0048417663574218,0.004794921875,p99_abs
